country,iso2c,year,GDP_Pcap,Population,Inflation
Brazil,BR,2018,9121.08340257783,210166592,3.66485028376724
Brazil,BR,2019,8845.25911841876,211782878,3.73297621216894
Brazil,BR,2020,6794.48915877166,213196304,3.21176803803379
Brazil,BR,2021,7507.16097080234,214326223,8.30165975585676
Canada,CA,2018,46548.6384108296,37065084,2.268225672481
Canada,CA,2019,46328.6718408497,37601230,1.94926902411596
Canada,CA,2020,43258.2638715601,38037204,0.716999632307852
Canada,CA,2021,51987.9390529728,38246108,3.39519318527532
Chile,CL,2018,15795.7084630954,18701450,2.43488981353058
Chile,CL,2019,14631.9468779229,19039485,2.55754475703323
Chile,CL,2020,13094.4595313609,19300315,3.04549084804331
Chile,CL,2021,16265.0959767147,19493184,4.52456838259136
Colombia,CO,2018,6782.03792033195,49276961,3.24056932930567
Colombia,CO,2019,6438.06018290435,50187406,3.52301932741443
Colombia,CO,2020,5307.21522798919,50930662,2.52663500084712
Colombia,CO,2021,6104.1367093039,51516562,3.49505757399453
Costa Rica,CR,2018,12383.1499737386,5040734,2.22111461526584
Costa Rica,CR,2019,12669.341068679,5084532,2.09604635327805
Costa Rica,CR,2020,12132.8768848243,5123105,0.724911478131358
Costa Rica,CR,2021,12472.4437294954,5153957,1.72647755109235
France,FR,2018,41557.8548588876,67158348,1.85081508315494
France,FR,2019,40494.8982936276,67388001,1.10825492288292
France,FR,2020,39055.2829280754,67571107,0.476498852725083
France,FR,2021,43658.9789781222,67749632,1.64233141038392
"Iran, Islamic Rep.",IR,2018,3873.99534020792,85617562,18.0141183371874
"Iran, Islamic Rep.",IR,2019,3277.875595507,86564202,39.9073455697783
"Iran, Islamic Rep.",IR,2020,2746.42044957439,87290193,30.5941390387295
"Iran, Islamic Rep.",IR,2021,4091.20918670534,87923432,43.3890162681516
Japan,JP,2018,39727.1165995928,126811000,0.989094598021806
Japan,JP,2019,40458.0018755824,126633000,0.468776159383912
Japan,JP,2020,39918.1675583443,126261000,-0.0249958340276592
Japan,JP,2021,39312.6603730693,125681593,-0.233352779398279
Mexico,MX,2018,9857.02882925559,124013861,4.89935015356549
Mexico,MX,2019,10145.1701829207,125085311,3.6359614212705
Mexico,MX,2020,8655.00068206803,125998302,3.39683415569999
Mexico,MX,2021,10045.6805004963,126705138,5.68920847683764
Nigeria,NG,2018,2125.83428239448,198387623,12.0951065173432
Nigeria,NG,2019,2204.18157415589,203304492,11.3964223378115
Nigeria,NG,2020,2074.61392802438,208327405,13.2460234276598
Nigeria,NG,2021,2065.74906750923,213401323,16.9528457221608
Saudi Arabia,SA,2018,23318.7381671416,35018133,2.45814158007533
Saudi Arabia,SA,2019,22430.238229402,35827362,-2.09333333333333
Saudi Arabia,SA,2020,19539.5658107346,35997107,3.44545825956691
Saudi Arabia,SA,2021,23185.8707917797,35950396,3.06328988941548
South Africa,ZA,2018,7048.52221139611,57339635,4.51716522786587
South Africa,ZA,2019,6688.78727128797,58087055,4.12024587014984
South Africa,ZA,2020,5741.64312911877,58801927,3.21003597454107
South Africa,ZA,2021,7055.04477598783,59392255,4.61167217803201
Switzerland,CH,2018,85217.3691512274,8514329,0.936335464113605
Switzerland,CH,2019,84121.9310304414,8575280,0.362886179940635
Switzerland,CH,2020,85656.322666307,8638167,-0.725874933313391
Switzerland,CH,2021,91991.6004583563,8703405,0.581814168489875
Thailand,TH,2018,7124.56454354255,71127802,1.06389754183022
Thailand,TH,2019,7630.03960991873,71307763,0.70672860131428
Thailand,TH,2020,6990.93550262041,71475664,-0.845937147357037
Thailand,TH,2021,7066.19054595323,71601103,1.23039541318382
United Kingdom,GB,2018,43306.3083049317,66460344,2.29283990345939
United Kingdom,GB,2019,42747.080460496,66836327,1.73810460086511
United Kingdom,GB,2020,40318.5575660493,67081000,0.98948670377243
United Kingdom,GB,2021,46510.2827819127,67326569,2.51837109614205
United States,US,2018,62823.309438197,326838199,2.44258329692818
United States,US,2019,65120.3946628653,328329953,1.81221007526015
United States,US,2020,63530.633483909,331501080,1.23358439630637
United States,US,2021,70248.6290002242,331893745,4.69785886363739
