playerID,nameFirst,nameLast,YearStart,YearEnd,weight,height,yearID,teamID,G,AB,R,H,X2B,X3B,HR,RBI,salary
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,400000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,2933333
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,4983000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,6333333
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,9100000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,10600000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,13100000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,13600000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,15000000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,16000000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,5000000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,9000000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,9000000
abreubo01,Bobby,Abreu,1996,2014,220,72,2001,PHI,162,588,118,170,48,4,31,110,9000000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,150000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,180000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,400000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,2933333
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,4983000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,6333333
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,9100000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,10600000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,13100000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,13600000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,15000000
abreubo01,Bobby,Abreu,1996,2014,220,72,2002,PHI,157,572,102,176,50,6,20,85,16000000
