MonthYear,NumberOfFlights,AverageDelayDep,AverageDelayArr
2018 Jan,44405,9.766692939983956,9.37043125774125
2018 Feb,41396,9.229780655135588,9.906850903468621
2018 Mar,48601,10.152856937099907,9.902718051068822
2018 Apr,49746,11.01620230772296,11.532866964178277
2018 May,52275,14.848665710186276,15.87437589669989
2018 Jun,54579,16.94325656388081,18.4068048150399
2018 Jul,56586,18.41950305729453,19.372017813592514
2018 Aug,56893,21.34360993443788,22.939975040866436
2018 Sep,52581,11.64142941366704,13.026435404423156
2018 Oct,55388,10.064779374593952,11.580233985701112
2018 Nov,51129,14.05920319192572,15.501946058010216
2018 Dec,51336,12.04780271154842,12.986714975846114
2019 Jan,46126,15.692667909638786,16.31617742704716
2019 Feb,43441,15.94721576390927,17.533113878594083
2019 Mar,52912,14.682888569700777,14.992515875415819
2019 Apr,51638,15.481718889190033,15.726577326775601
2019 May,53714,19.383065867371702,20.65526678333412
2019 Jun,53454,22.52897818685488,23.781475661315415
2019 Jul,55064,21.343400406800868,21.754667296238832
2019 Aug,55503,19.118858440084853,19.767345909227682
2019 Sep,51105,13.979923686527258,14.454769592015701
2019 Oct,54832,11.351418879486005,12.157791070906846
2019 Nov,49858,11.102932327809903,11.57932528380675
2019 Dec,51060,15.034625930278073,15.739541715628132
2020 Jan,48019,9.629958974572851,9.31666631958215
2020 Feb,46073,10.280098973368212,10.2011590302342
2020 Mar,41402,6.754407999613496,6.850973382928467
2020 Apr,8955,4.0186487995532785,3.2202121719708927
2020 May,7001,4.121839737180424,3.3626624767890765
2020 Jun,7278,5.102363286617187,4.591646056609066
2020 Jul,14873,4.916022322329142,4.659517246016071
2020 Aug,21293,4.63391724980036,4.634715634245919
2020 Sep,17171,4.188515520353882,3.7699609807231975
2020 Oct,23499,5.028554406570825,4.827779905527592
2020 Nov,24049,4.82751881575109,4.974801447045426
2020 Dec,25550,6.6963600782776975,6.923248532289332
2021 Jan,23762,5.827455601380022,6.0346772157227635
2021 Feb,21164,8.766065016064926,9.600311850312163
2021 Mar,28194,5.548733773143407,5.521422997800922
2021 Apr,27701,6.731850835710097,6.997436915634801
2021 May,30802,8.432536848256454,8.968281280436711
2021 Jun,35544,15.409042313751344,17.17431915372541
2021 Jul,42670,19.40140614014504,21.241199906255048
2021 Aug,43978,17.09143207967641,18.25815180317465
2021 Sep,43685,10.660432642783233,10.166464461485312
2021 Oct,47419,11.296357999957534,10.385647103481915
2021 Nov,46921,9.429125551458746,8.362993116088829
2021 Dec,47814,17.586397289496997,15.888986489312197
2022 Jan,42744,16.063236945534914,14.8466451431781
2022 Feb,43051,13.19193514668687,12.088592599475598
2022 Mar,50451,15.36825831004383,14.68379219440629
2022 Apr,48606,15.281878780396752,14.707361231123487
2022 May,52466,16.867742919223673,16.851256051538694
2022 Jun,51129,18.96117663165633,18.121242347788574
2022 Jul,54482,17.91321904482251,16.962317829742798
