id,name,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
110,sparkling heart,💖,0.136199226,0.745253802,0.11475498,0.17855012,0.932082808,0.174016279,0.405330595,0.672514766,0.292382378,1.353608719
111,growing heart,💗,0.134437332,0.688109135,0.088632234,0.14074974,0.919516976,0.163650189,0.344965924,0.702993601,0.279785702,1.286048245
112,beating heart,💓,0.128984685,0.63157795,0.083825443,0.158885502,0.84444141,0.150376659,0.270718863,0.623084977,0.262359636,1.162503333
113,revolving hearts,💞,0.132451097,0.695847053,0.092024616,0.156928511,0.977762005,0.175661695,0.352450268,0.697533588,0.299480789,1.321357141
114,two hearts,💕,0.144336294,0.688057631,0.098405585,0.156540334,0.911163008,0.173563532,0.336547651,0.672711742,0.297064511,1.263339713
115,heart exclamation,❣,0.14242251,0.697831278,0.099436965,0.181606663,0.894489328,0.176279109,0.324113,0.714358212,0.328240475,1.288395029
116,broken heart,💔,0.340229597,0.438733955,0.227153435,0.471545769,0.426582944,0.449217128,0.217243746,0.54359264,0.734596645,0.812140414
117,red heart,❤,0.157696315,0.660782852,0.109607592,0.192607077,0.876679015,0.187464034,0.312395197,0.69896884,0.332131738,1.282407997
118,orange heart,🧡,0.163742998,0.697710446,0.105833199,0.167670339,0.834138251,0.173076131,0.295117818,0.700739559,0.333702,1.240404067
119,yellow heart,💛,0.141017638,0.646232035,0.089075068,0.164829071,0.805756418,0.176244538,0.303740853,0.649660752,0.303305288,1.182142307
120,green heart,💚,0.164614221,0.714814598,0.095214595,0.165494277,0.872730148,0.181984859,0.335477392,0.770675779,0.321012221,1.302899391
121,blue heart,💙,0.167889346,0.678321336,0.104695733,0.206259601,0.805153563,0.213248149,0.317285805,0.708087089,0.352338229,1.204065544
122,purple heart,💜,0.181143451,0.709477246,0.102898152,0.169306332,0.906676191,0.201460622,0.367785499,0.734962454,0.354582241,1.308031879
123,brown heart,🤎,0.147867487,0.674151954,0.061495735,0.158619322,0.895457251,0.168339615,0.300813331,0.755088276,0.306209086,1.246736759
124,black heart,🖤,0.182806264,0.590696315,0.128159026,0.203157709,0.710489252,0.221346386,0.27089949,0.60726798,0.396129446,1.055185434
125,white heart,🤍,0.164215507,0.70113894,0.101005539,0.187850361,0.884731471,0.189904365,0.329547808,0.727005987,0.346906628,1.283652401
126,hundred points,💯,0.284608646,0.489473283,0.187706028,0.253264165,0.466142734,0.223441965,0.207698416,0.597062852,0.487555555,0.967904594
127,collision,💥,0.298583787,0.728344067,0.134441037,0.317888775,0.646250007,0.261977265,0.365334144,0.756719732,0.538085973,1.265071971
128,dizzy,💫,0.184635477,0.777586665,0.100014544,0.214307755,0.868101691,0.221274768,0.362661581,0.755405474,0.358285456,1.405820331
129,sweat droplets,💦,0.209693634,0.559071731,0.183631838,0.202080347,0.516832588,0.160875401,0.195344355,0.489681696,0.474686054,0.911952645
130,dashing away,💨,0.215149742,0.487289045,0.154063018,0.211745196,0.389688811,0.179182519,0.197239294,0.445332163,0.433684518,0.741898351
131,bomb,💣,0.391877845,0.579312194,0.175465759,0.411248614,0.441194707,0.341472266,0.325533599,0.509264122,0.61600213,0.858738548
132,thought balloon,💭,0.208912121,0.595228788,0.143707576,0.306477273,0.534430303,0.270025757,0.243022727,0.620040909,0.460115151,1.05609394
133,zzz,💤,0.17781747,0.69992366,0.117544409,0.17028138,0.641915341,0.178780524,0.396874969,0.624528505,0.385047223,0.939273795
134,waving hand,👋,0.224202822,0.619147266,0.141903579,0.220284041,0.549658344,0.235380958,0.289746282,0.622807881,0.454927737,1.023884587
135,hand with fingers splayed,🖐,0.221089943,0.529685423,0.133252105,0.20248117,0.460899424,0.203588835,0.273593265,0.617523261,0.510633585,0.951151972
136,raised hand,✋,0.230583823,0.373538768,0.179273073,0.264168046,0.306194555,0.229564044,0.17403864,0.436666106,0.524309484,0.669126391
137,OK hand,👌,0.177643437,0.528968738,0.120432646,0.185019875,0.548495906,0.180000635,0.242108641,0.589759033,0.341985403,0.976263579
138,victory hand,✌,0.241406797,0.590677677,0.169159084,0.253643912,0.572561602,0.240648174,0.265913042,0.636893449,0.480869336,1.0069973
139,crossed fingers,🤞,0.181219611,0.631155614,0.13147263,0.220278175,0.61468315,0.190055765,0.356833463,0.62549931,0.361407481,0.997626956
140,love-you gesture,🤟,0.195682521,0.5004534,0.120477504,0.179065205,0.531843065,0.171234763,0.226215516,0.472557321,0.360832445,0.883873646
141,sign of the horns,🤘,0.199253889,0.550164537,0.128048105,0.221664804,0.541097968,0.196150345,0.232884846,0.504891951,0.39232907,0.878203253
142,call me hand,🤙,0.227711737,0.611976742,0.159615722,0.190906092,0.534632913,0.208451841,0.286596414,0.613495231,0.411110293,0.971390875
143,back hand index pointing left,👈,0.209898383,0.543506963,0.134058446,0.221359289,0.497465889,0.212259062,0.246370637,0.531749777,0.418920443,0.927146891
144,back hand index pointing right,👉,0.276008498,0.754650193,0.142487855,0.334649368,0.608073125,0.276365768,0.324436253,0.771911329,0.539025674,1.338969982
145,back hand index pointing up,👆,0.240498632,0.682046215,0.176193372,0.278580115,0.492930982,0.230465187,0.269990879,0.657190635,0.476360596,1.00881727
146,middle finger,🖕,0.447882223,0.456397825,0.409248033,0.424785652,0.380134611,0.407826175,0.254090643,0.557985168,0.950887411,0.814661495
147,back hand index pointing down,👇,0.309823721,0.678726176,0.171667553,0.367401647,0.529865125,0.30350523,0.305776151,0.794785362,0.616704167,1.257166937
148,index pointing up,☝,0.222236017,0.554643712,0.174929444,0.258619431,0.539995563,0.214809691,0.24189426,0.673931567,0.460422639,1.007990284
149,thumbs up,👍,0.190570749,0.588695066,0.129410369,0.222821918,0.561443302,0.197758376,0.299040974,0.647929562,0.395697102,1.050504089
150,thumbs down,👎,0.42933537,0.42875118,0.421034724,0.401724326,0.322184489,0.433039526,0.204248545,0.489905053,0.904321087,0.748964826
151,raised fist,✊,0.360527426,0.68020061,0.16638306,0.40750014,0.59190702,0.296691808,0.284944281,0.8121494,0.624425898,1.238091285
152,oncoming fist,👊,0.305595199,0.642676673,0.144726817,0.339575273,0.585407637,0.246985505,0.368755397,0.670256022,0.502745886,1.093532596
153,right -facing fist,🤜,0.285953177,0.624414716,0.174247492,0.26187291,0.535451505,0.207692308,0.319397993,0.669899666,0.461538462,1.072240802
154,clapping hands,👏,0.184966878,0.567102526,0.123094469,0.200883645,0.566340587,0.170670361,0.2614011,0.649977922,0.352629501,1.077855225
155,raising hands,🙌,0.182491417,0.628285917,0.117550347,0.219392618,0.627718292,0.152652042,0.273558232,0.652737779,0.337650814,1.089865556
156,palms up together,🤲,0.171904718,0.676627747,0.139756667,0.280942673,0.707242804,0.237544872,0.268590413,0.784612579,0.36908528,1.199046679
157,handshake,🤝,0.21705409,0.447083341,0.151042806,0.194996418,0.453729443,0.198479489,0.222300851,0.60868669,0.416327798,0.919026035
