Year,Month,Airline,Passengers_domestic,Passengers_international,Passengers_total,Flights_domestic,Flights_international,Flights_total,RPM_domestic,RPM_international,RPM_total,ASM_domestic,ASM_internationl,ASM_total,LF_domestic,LF_international,LF_total
2007,2,United,"4,055,672","746,826","4,802,498","35,901","4,740","40,641","4,884,559","3,122,301","8,006,860","6,178,485","4,148,628","10,327,113",79.06,75.26,77.53
2007,3,United,"5,088,482","947,707","6,036,189","41,911","5,475","47,386","6,134,043","3,980,429","10,114,473","7,222,563","4,658,527","11,881,091",84.93,85.44,85.13
2007,4,United,"4,921,177","895,584","5,816,761","39,940","5,310","45,250","5,934,996","3,776,921","9,711,917","6,847,500","4,671,155","11,518,655",86.67,80.86,84.31
2007,5,United,"5,047,618","937,792","5,985,410","41,276","5,386","46,662","6,004,346","4,036,850","10,041,196","6,959,093","4,873,626","11,832,720",86.28,82.83,84.86
2007,6,United,"5,136,177","1,010,445","6,146,622","40,370","5,538","45,908","6,254,623","4,304,928","10,559,551","6,938,726","4,883,255","11,821,981",90.14,88.16,89.32
2007,7,United,"5,165,814","1,037,716","6,203,530","41,793","5,767","47,560","6,369,350","4,389,538","10,758,888","7,225,382","5,065,445","12,290,827",88.15,86.66,87.54
2007,8,United,"5,157,349","1,023,499","6,180,848","42,221","5,768","47,989","6,370,598","4,309,999","10,680,597","7,268,243","5,081,348","12,349,591",87.65,84.82,86.49
2007,9,United,"4,297,104","896,710","5,193,814","38,698","5,137","43,835","5,107,924","3,927,409","9,035,333","6,430,653","4,802,857","11,233,510",79.43,81.77,80.43
2007,10,United,"4,687,662","895,672","5,583,334","40,600","5,289","45,889","5,535,540","3,927,201","9,462,741","6,748,986","4,890,797","11,639,783",82.02,80.3,81.3
2007,11,United,"4,345,102","835,657","5,180,759","38,337","4,999","43,336","5,184,783","3,660,691","8,845,474","6,441,894","4,667,060","11,108,954",80.49,78.44,79.62
2007,12,United,"4,132,676","915,739","5,048,415","37,883","5,476","43,359","5,085,683","4,012,794","9,098,477","6,539,046","5,020,799","11,559,844",77.77,79.92,78.71
2008,1,United,"3,814,616","885,930","4,700,546","36,672","5,574","42,246","4,642,915","3,922,660","8,565,575","6,159,360","5,046,114","11,205,473",75.38,77.74,76.44
2008,2,United,"3,853,886","791,670","4,645,556","35,408","5,209","40,617","4,627,283","3,367,386","7,994,669","6,017,335","4,738,584","10,755,919",76.9,71.06,74.33
2008,3,United,"4,696,223","978,600","5,674,823","39,680","5,630","45,310","5,698,795","4,191,055","9,889,849","6,831,218","5,107,928","11,939,146",83.42,82.05,82.84
2008,4,United,"4,471,328","890,892","5,362,220","38,296","5,452","43,748","5,358,311","3,795,105","9,153,417","6,383,422","4,958,699","11,342,121",83.94,76.53,80.7
2008,5,United,"4,651,223","946,139","5,597,362","39,291","5,497","44,788","5,555,673","4,110,630","9,666,303","6,562,811","5,128,712","11,691,523",84.65,80.15,82.68
2008,6,United,"4,862,311","984,198","5,846,509","39,314","5,534","44,848","5,955,533","4,252,943","10,208,476","6,769,245","5,023,299","11,792,544",87.98,84.66,86.57
2008,7,United,"4,905,103","1,009,938","5,915,041","40,267","5,723","45,990","6,070,225","4,288,995","10,359,220","7,012,118","5,141,941","12,154,059",86.57,83.41,85.23
2008,8,United,"4,854,058","1,004,594","5,858,652","39,694","5,777","45,471","5,934,899","4,231,944","10,166,843","6,874,654","5,128,818","12,003,472",86.33,82.51,84.7
2008,9,United,"3,973,826","814,961","4,788,787","34,238","4,878","39,116","4,631,948","3,583,811","8,215,759","5,719,255","4,557,697","10,276,952",80.99,78.63,79.94
2008,10,United,"4,246,756","809,606","5,056,362","35,313","4,903","40,216","4,955,597","3,587,846","8,543,443","5,871,279","4,610,729","10,482,008",84.4,77.82,81.51
2008,11,United,"3,550,947","706,184","4,257,131","30,843","4,506","35,349","4,240,446","3,097,728","7,338,173","5,338,991","4,176,479","9,515,470",79.42,74.17,77.12
2008,12,United,"3,781,104","798,584","4,579,688","31,894","4,907","36,801","4,601,628","3,441,569","8,043,197","5,627,456","4,435,746","10,063,202",81.77,77.59,79.93
2009,1,United,"3,379,371","756,261","4,135,632","30,875","4,917","35,792","4,170,387","3,288,960","7,459,347","5,390,096","4,419,013","9,809,109",77.37,74.43,76.05
2009,2,United,"3,260,853","630,223","3,891,076","29,456","4,376","33,832","3,989,682","2,601,163","6,590,845","5,156,931","3,814,369","8,971,300",77.37,68.19,73.47
2009,3,United,"4,083,279","789,119","4,872,398","33,946","4,977","38,923","4,990,701","3,297,640","8,288,341","6,007,634","4,429,983","10,437,617",83.07,74.44,79.41
2009,4,United,"3,834,934","793,987","4,628,921","30,970","5,035","36,005","4,761,610","3,381,999","8,143,609","5,578,820","4,533,417","10,112,237",85.35,74.6,80.53
2009,5,United,"3,905,735","772,120","4,677,855","31,517","4,749","36,266","4,803,513","3,456,239","8,259,752","5,640,372","4,606,171","10,246,543",85.16,75.03,80.61
2009,6,United,"4,213,529","868,922","5,082,451","32,563","4,918","37,481","5,297,987","3,861,821","9,159,807","5,950,322","4,567,435","10,517,757",89.04,84.55,87.09
2009,7,United,"4,400,040","943,272","5,343,312","33,582","5,175","38,757","5,544,837","4,104,149","9,648,986","6,218,525","4,753,988","10,972,513",89.17,86.33,87.94
2009,8,United,"4,289,258","953,737","5,242,995","33,285","5,158","38,443","5,415,819","4,104,198","9,520,016","6,154,739","4,740,645","10,895,384",87.99,86.57,87.38
2009,9,United,"3,554,837","790,828","4,345,665","29,685","4,445","34,130","4,369,568","3,561,753","7,931,320","5,294,649","4,342,859","9,637,507",82.53,82.01,82.3
2009,10,United,"3,805,704","773,793","4,579,497","30,299","4,391","34,690","4,723,025","3,521,149","8,244,174","5,523,436","4,283,026","9,806,462",85.51,82.21,84.07
2009,11,United,"3,369,503","670,795","4,040,298","27,613","4,005","31,618","4,216,980","3,068,219","7,285,199","5,153,276","3,820,738","8,974,015",81.83,80.3,81.18
2009,12,United,"3,473,568","758,154","4,231,722","28,448","4,318","32,766","4,434,773","3,388,967","7,823,740","5,436,326","3,984,063","9,420,389",81.58,85.06,83.05
2010,1,United,"3,256,750","746,340","4,003,090","27,713","4,541","32,254","4,290,729","3,361,683","7,652,412","5,492,362","4,144,835","9,637,197",78.12,81.11,79.4
2010,2,United,"2,998,199","625,452","3,623,651","24,772","3,912","28,684","3,839,273","2,689,848","6,529,121","4,730,286","3,492,987","8,223,273",81.16,77.01,79.4
2010,3,United,"3,781,975","795,355","4,577,330","29,373","4,632","34,005","4,863,510","3,459,156","8,322,666","5,687,965","4,173,049","9,861,014",85.51,82.89,84.4
2010,4,United,"3,594,361","725,217","4,319,578","28,081","4,237","32,318","4,637,074","3,284,971","7,922,045","5,448,092","4,204,420","9,652,512",85.11,78.13,82.07
2010,5,United,"3,724,578","859,352","4,583,930","28,740","4,665","33,405","4,762,783","3,911,490","8,674,273","5,555,556","4,742,679","10,298,236",85.73,82.47,84.23
2010,6,United,"3,924,482","908,091","4,832,573","29,090","4,692","33,782","5,124,134","4,156,050","9,280,183","5,718,062","4,703,100","10,421,162",89.61,88.37,89.05
2010,7,United,"4,019,575","952,962","4,972,537","30,224","4,973","35,197","5,336,092","4,314,344","9,650,436","5,997,361","4,956,592","10,953,953",88.97,87.04,88.1
2010,8,United,"4,030,843","936,221","4,967,064","30,444","4,866","35,310","5,317,550","4,266,071","9,583,620","5,985,876","4,920,127","10,906,004",88.83,86.71,87.87
2010,9,United,"3,498,724","836,388","4,335,112","27,980","4,362","32,342","4,445,195","3,951,372","8,396,566","5,276,893","4,634,389","9,911,282",84.24,85.26,84.72
2010,10,United,"3,754,131","830,069","4,584,200","29,057","4,535","33,592","4,797,862","3,896,524","8,694,387","5,544,207","4,728,498","10,272,704",86.54,82.41,84.64
2010,11,United,"3,397,281","709,283","4,106,564","27,263","4,133","31,396","4,360,023","3,289,987","7,650,010","5,234,863","4,102,328","9,337,191",83.29,80.2,81.93
2010,12,United,"3,326,001","800,610","4,126,611","27,172","4,597","31,769","4,376,408","3,655,025","8,031,433","5,292,675","4,404,326","9,697,000",82.69,82.99,82.82
2011,1,United,"3,012,378","770,944","3,783,322","25,702","4,738","30,440","3,974,575","3,528,506","7,503,081","4,942,003","4,425,767","9,367,770",80.42,79.73,80.09
2011,2,United,"2,809,725","638,719","3,448,444","23,216","4,242","27,458","3,694,058","2,808,000","6,502,058","4,512,970","3,869,932","8,382,902",81.85,72.56,77.56
2011,3,United,"3,449,670","811,046","4,260,716","27,359","5,053","32,412","4,590,165","3,459,643","8,049,808","5,378,343","4,464,386","9,842,728",85.35,77.49,81.78
2011,4,United,"3,230,000","828,484","4,058,484","25,052","5,117","30,169","4,348,383","3,602,851","7,951,234","5,044,589","4,665,668","9,710,258",86.2,77.22,81.88
2011,5,United,"3,382,600","894,944","4,277,544","25,809","5,052","30,861","4,476,890","4,017,126","8,494,017","5,095,952","4,841,503","9,937,455",87.85,82.97,85.47
2011,6,United,"3,664,079","932,071","4,596,150","27,382","4,942","32,324","4,970,369","4,177,370","9,147,739","5,527,025","4,808,381","10,335,406",89.93,86.88,88.51
2011,7,United,"3,822,906","999,916","4,822,822","28,530","5,227","33,757","5,240,396","4,413,107","9,653,503","5,785,744","5,090,547","10,876,291",90.57,86.69,88.76
2011,8,United,"3,715,505","959,619","4,675,124","28,180","5,051","33,231","5,012,380","4,307,624","9,320,004","5,627,182","5,048,810","10,675,991",89.07,85.32,87.3
2011,9,United,"3,171,710","857,955","4,029,665","24,571","4,629","29,200","4,145,094","3,935,522","8,080,616","4,757,445","4,740,951","9,498,397",87.13,83.01,85.07
2011,10,United,"3,269,782","832,614","4,102,396","25,040","4,672","29,712","4,287,064","3,858,907","8,145,971","4,894,523","4,799,817","9,694,340",87.59,80.4,84.03
2011,11,United,"2,952,856","737,461","3,690,317","22,893","4,204","27,097","3,874,019","3,290,456","7,164,475","4,484,418","4,167,590","8,652,008",86.39,78.95,82.81
2011,12,United,"3,047,322","826,777","3,874,099","23,895","4,688","28,583","4,183,599","3,592,852","7,776,451","4,900,924","4,405,453","9,306,377",85.36,81.55,83.56
2012,1,United,"4,984,089","1,901,259","6,885,348","41,370","13,434","54,804","6,651,569","6,621,544","13,273,113","8,198,400","8,697,120","16,895,520",81.13,76.13,78.56
2012,2,United,"4,919,282","1,676,303","6,595,585","40,632","12,589","53,221","6,483,060","5,745,090","12,228,149","8,089,532","8,227,593","16,317,125",80.14,69.83,74.94
2012,3,United,"5,952,082","2,119,321","8,071,403","46,149","14,525","60,674","7,969,524","7,212,886","15,182,410","9,379,147","9,128,738","18,507,885",84.97,79.01,82.03
2012,4,United,"5,757,600","2,034,449","7,792,049","44,170","13,675","57,845","7,753,390","7,099,281","14,852,671","9,031,642","8,797,218","17,828,861",85.85,80.7,83.31
2012,5,United,"5,908,966","2,087,875","7,996,841","45,115","13,843","58,958","8,003,513","7,682,388","15,685,901","9,253,161","9,394,644","18,647,804",86.49,81.77,84.12
2012,6,United,"6,185,279","2,257,790","8,443,069","46,479","14,148","60,627","8,614,201","8,026,140","16,640,341","9,831,260","9,263,105","19,094,365",87.62,86.65,87.15
2012,7,United,"6,326,084","2,439,653","8,765,737","47,403","15,160","62,563","8,857,074","8,369,966","17,227,041","10,016,298","9,736,616","19,752,914",88.43,85.96,87.21
2012,8,United,"6,284,718","2,276,932","8,561,650","47,361","14,224","61,585","8,769,540","8,152,784","16,922,324","9,893,584","9,471,919","19,365,503",88.64,86.07,87.38
2012,9,United,"5,253,311","1,838,359","7,091,670","42,756","11,781","54,537","7,051,468","7,136,981","14,188,449","8,588,093","8,582,697","17,170,789",82.11,83.16,82.63
2012,10,United,"5,510,934","1,749,224","7,260,158","42,550","11,489","54,039","7,348,367","6,720,749","14,069,116","8,558,764","8,337,861","16,896,625",85.86,80.61,83.27
2012,11,United,"5,204,739","1,676,868","6,881,607","40,882","11,056","51,938","6,911,664","6,088,204","12,999,869","8,249,673","7,641,092","15,890,765",83.78,79.68,81.81
2012,12,United,"5,246,744","1,902,127","7,148,871","41,814","12,480","54,294","7,245,573","6,694,325","13,939,898","8,686,504","8,148,832","16,835,336",83.41,82.15,82.8
2013,1,United,"4,954,097","1,890,855","6,844,952","40,335","12,973","53,308","6,684,510","6,672,413","13,356,923","8,111,328","8,488,952","16,600,280",82.41,78.6,80.46
2013,2,United,"4,686,091","1,604,832","6,290,923","37,435","11,511","48,946","6,200,365","5,548,798","11,749,163","7,442,798","7,477,926","14,920,723",83.31,74.2,78.74
2013,3,United,"5,704,496","2,127,732","7,832,228","43,624","13,905","57,529","7,728,740","7,179,256","14,907,995","8,900,361","8,655,728","17,556,089",86.84,82.94,84.92
2013,4,United,"5,263,228","1,978,337","7,241,565","41,144","13,393","54,537","7,305,136","6,881,171","14,186,307","8,570,898","8,733,521","17,304,418",85.23,78.79,81.98
2013,5,United,"5,618,696","2,091,661","7,710,357","42,916","13,561","56,477","7,795,617","7,674,167","15,469,784","8,984,397","9,265,546","18,249,942",86.77,82.82,84.77
2013,6,United,"5,835,043","2,296,608","8,131,651","43,326","14,053","57,379","8,372,975","8,167,953","16,540,928","9,416,300","9,313,713","18,730,013",88.92,87.7,88.31
2013,7,United,"5,899,822","2,453,930","8,353,752","44,467","14,804","59,271","8,560,389","8,459,556","17,019,945","9,676,344","9,684,886","19,361,231",88.47,87.35,87.91
2013,8,United,"5,902,085","2,332,039","8,234,124","44,455","14,087","58,542","8,515,374","8,372,258","16,887,633","9,595,742","9,578,928","19,174,670",88.74,87.4,88.07
2013,9,United,"5,097,214","1,870,468","6,967,682","40,645","11,825","52,470","7,062,933","7,235,877","14,298,810","8,450,956","8,753,633","17,204,589",83.58,82.66,83.11
2013,10,United,"5,524,693","1,827,429","7,352,122","43,239","11,792","55,031","7,534,295","6,935,077","14,469,372","8,925,602","8,714,631","17,640,233",84.41,79.58,82.02
2013,11,United,"5,122,924","1,718,822","6,841,746","40,550","11,476","52,026","6,957,383","6,086,064","13,043,447","8,459,453","7,908,433","16,367,886",82.24,76.96,79.69
2013,12,United,"5,505,093","1,971,843","7,476,936","41,074","12,548","53,622","7,675,428","6,782,248","14,457,676","8,721,094","8,174,263","16,895,357",88.01,82.97,85.57
2014,1,United,"4,786,821","1,906,028","6,692,849","37,555","12,807","50,362","6,618,191","6,575,209","13,193,399","7,881,426","8,344,561","16,225,987",83.97,78.8,81.31
2014,2,United,"4,565,753","1,671,615","6,237,368","35,274","11,676","46,950","6,101,749","5,591,805","11,693,554","7,236,310","7,567,809","14,804,118",84.32,73.89,78.99
2014,3,United,"5,645,416","2,222,298","7,867,714","42,232","14,895","57,127","7,749,640","7,213,514","14,963,154","8,908,513","9,172,409","18,080,922",86.99,78.64,82.76
2014,4,United,"5,263,789","2,083,668","7,347,457","39,498","13,498","52,996","7,269,812","7,077,305","14,347,117","8,345,026","8,851,429","17,196,455",87.12,79.96,83.43
2014,5,United,"5,676,534","2,219,737","7,896,271","42,239","14,022","56,261","7,830,572","7,970,090","15,800,663","8,924,348","9,552,401","18,476,749",87.74,83.44,85.52
2014,6,United,"5,782,418","2,428,981","8,211,399","42,596","15,001","57,597","8,266,280","8,378,986","16,645,266","9,330,370","9,703,582","19,033,951",88.6,86.35,87.45
2014,7,United,"5,927,391","2,600,920","8,528,311","43,775","15,661","59,436","8,566,275","8,733,310","17,299,585","9,692,579","10,156,395","19,848,974",88.38,85.99,87.16
2014,8,United,"5,847,897","2,445,936","8,293,833","42,721","14,631","57,352","8,358,185","8,606,641","16,964,826","9,373,363","9,921,080","19,294,442",89.17,86.75,87.93
2014,9,United,"5,164,238","1,899,869","7,064,107","39,951","11,666","51,617","7,053,367","7,303,912","14,357,278","8,424,942","8,823,662","17,248,604",83.72,82.78,83.24
2014,10,United,"5,602,825","1,865,164","7,467,989","43,231","11,875","55,106","7,565,496","7,071,611","14,637,107","9,008,109","8,908,193","17,916,302",83.99,79.38,81.7
2014,11,United,"5,059,175","1,808,770","6,867,945","39,686","12,022","51,708","6,768,175","6,331,773","13,099,947","8,232,701","8,192,413","16,425,114",82.21,77.29,79.76
2014,12,United,"5,346,056","2,050,286","7,396,342","40,276","13,261","53,537","7,481,931","7,069,280","14,551,211","8,720,644","8,681,920","17,402,564",85.8,81.43,83.62
2015,1,United,"4,804,539","1,947,047","6,751,586","37,607","12,789","50,396","6,539,633","6,843,473","13,383,106","7,865,329","8,646,972","16,512,301",83.15,79.14,81.05
2015,2,United,"4,607,021","1,686,887","6,293,908","35,454","11,470","46,924","6,083,359","5,759,176","11,842,535","7,257,180","7,665,373","14,922,552",83.83,75.13,79.36
2015,3,United,"5,776,714","2,233,207","8,009,921","43,230","14,507","57,737","7,739,688","7,372,627","15,112,315","8,999,723","9,248,664","18,248,387",86,79.72,82.81
2015,4,United,"5,511,339","2,124,217","7,635,556","41,165","14,267","55,432","7,422,213","7,075,882","14,498,095","8,624,603","9,202,507","17,827,111",86.06,76.89,81.33
2015,5,United,"5,984,499","2,208,848","8,193,347","44,396","13,941","58,337","8,065,660","7,910,631","15,976,291","9,334,316","9,699,492","19,033,808",86.41,81.56,83.94
2015,6,United,"6,231,940","2,428,215","8,660,155","45,385","14,663","60,048","8,615,067","8,460,975","17,076,041","9,816,921","9,928,224","19,745,145",87.76,85.22,86.48
2015,7,United,"6,451,029","2,706,365","9,157,394","46,250","16,216","62,466","8,996,014","9,102,326","18,098,340","10,111,394","10,608,403","20,719,797",88.97,85.8,87.35
2015,8,United,"6,273,013","2,546,709","8,819,722","45,328","15,194","60,522","8,621,688","8,866,361","17,488,048","9,735,539","10,340,657","20,076,196",88.56,85.74,87.11
2015,9,United,"5,655,459","1,911,328","7,566,787","41,774","11,744","53,518","7,412,978","7,297,049","14,710,028","8,680,875","9,022,733","17,703,608",85.39,80.87,83.09
2015,10,United,"6,329,169","1,896,879","8,226,048","45,892","11,731","57,623","8,179,546","7,158,579","15,338,125","9,384,381","8,991,734","18,376,115",87.16,79.61,83.47
2015,11,United,"5,740,177","1,869,335","7,609,512","42,495","12,053","54,548","7,387,882","6,405,433","13,793,316","8,651,167","8,249,507","16,900,673",85.4,77.65,81.61
2015,12,United,"5,813,742","2,153,949","7,967,691","42,855","13,886","56,741","7,827,233","7,163,455","14,990,688","9,145,418","8,927,128","18,072,546",85.59,80.24,82.95
2016,1,United,"5,055,420","2,019,550","7,074,970","38,556","13,177","51,733","6,617,756","6,829,873","13,447,629","7,909,203","8,648,744","16,557,946",83.67,78.97,81.22
2016,2,United,"4,973,238","1,781,640","6,754,878","38,677","12,400","51,077","6,383,051","5,804,141","12,187,192","7,827,487","8,057,269","15,884,756",81.55,72.04,76.72
2016,3,United,"5,923,783","2,241,984","8,165,767","43,911","14,625","58,536","7,812,827","7,106,563","14,919,390","9,187,542","9,123,103","18,310,645",85.04,77.9,81.48
2016,4,United,"5,729,928","2,022,485","7,752,413","42,781","13,299","56,080","7,471,337","6,832,089","14,303,426","8,849,286","8,968,595","17,817,881",84.43,76.18,80.28
2016,5,United,"6,293,618","2,175,315","8,468,933","45,910","13,833","59,743","8,186,607","7,652,403","15,839,010","9,462,361","9,786,662","19,249,023",86.52,78.19,82.28
2016,6,United,"6,592,185","2,495,365","9,087,550","46,399","14,880","61,279","8,753,164","8,650,961","17,404,126","9,783,077","10,178,928","19,962,005",89.47,84.99,87.19
2016,7,United,"6,767,029","2,785,547","9,552,576","47,857","16,342","64,199","9,092,288","9,359,132","18,451,420","10,230,414","10,812,517","21,042,931",88.88,86.56,87.68
2016,8,United,"6,788,195","2,501,629","9,289,824","49,703","14,750","64,453","8,931,001","8,809,933","17,740,934","10,311,843","10,373,309","20,685,152",86.61,84.93,85.77
2016,9,United,"6,337,483","1,981,344","8,318,827","46,870","11,865","58,735","7,978,482","7,499,122","15,477,604","9,386,992","9,208,912","18,595,903",85,81.43,83.23
2016,10,United,"6,790,121","1,936,038","8,726,159","49,691","11,893","61,584","8,392,220","7,242,008","15,634,227","9,770,972","9,218,865","18,989,837",85.89,78.56,82.33
2016,11,United,"6,297,085","1,836,771","8,133,856","46,043","11,545","57,588","7,722,929","6,475,791","14,198,720","9,057,851","8,351,315","17,409,165",85.26,77.54,81.56
2016,12,United,"6,232,029","2,212,170","8,444,199","45,329","14,090","59,419","8,153,823","7,429,044","15,582,867","9,592,667","9,183,534","18,776,201",85,80.9,82.99
2017,1,United,"5,577,898","2,106,434","7,684,332","42,317","13,837","56,154","7,117,049","7,069,846","14,186,895","8,586,939","9,014,960","17,601,898",82.88,78.42,80.6
2017,2,United,"5,254,113","1,743,226","6,997,339","39,735","12,089","51,824","6,517,389","5,740,520","12,257,909","7,948,169","8,087,284","16,035,452",82,70.98,76.44
2017,3,United,"6,712,764","2,209,138","8,921,902","47,941","14,528","62,469","8,475,624","7,099,855","15,575,479","9,825,518","9,355,511","19,181,029",86.26,75.89,81.2
2017,4,United,"6,478,750","2,221,866","8,700,616","45,622","14,107","59,729","8,260,703","7,324,499","15,585,202","9,400,796","9,340,680","18,741,475",87.87,78.42,83.16
2017,5,United,"6,914,319","2,224,936","9,139,255","49,466","14,302","63,768","8,802,852","7,724,542","16,527,394","10,130,249","10,113,192","20,243,441",86.9,76.38,81.64
2017,6,United,"7,409,256","2,586,805","9,996,061","51,968","15,580","67,548","9,592,747","8,700,114","18,292,862","10,856,358","10,408,204","21,264,562",88.36,83.59,86.03
2017,7,United,"7,680,435","2,869,396","10,549,831","53,430","16,850","70,280","10,074,371","9,407,858","19,482,229","11,319,520","10,994,270","22,313,791",89,85.57,87.31
2017,8,United,"7,404,363","2,555,410","9,959,773","53,531","14,762","68,293","9,586,047","8,872,041","18,458,087","11,120,138","10,385,326","21,505,464",86.2,85.43,85.83
2017,9,United,"6,366,060","2,007,345","8,373,405","47,547","12,422","59,969","7,941,168","7,466,890","15,408,058","9,622,563","9,489,869","19,112,432",82.53,78.68,80.62
2017,10,United,"7,100,764","1,938,972","9,039,736","51,239","12,640","63,879","8,820,649","7,127,279","15,947,928","10,308,776","9,415,161","19,723,937",85.56,75.7,80.86
2017,11,United,"6,803,531","1,927,316","8,730,847","48,381","12,489","60,870","8,366,581","6,683,035","15,049,616","9,657,948","8,773,534","18,431,482",86.63,76.17,81.65
2017,12,United,"6,732,130","2,212,607","8,944,737","49,116","13,972","63,088","8,560,100","7,502,494","16,062,594","10,147,633","9,364,657","19,512,290",84.36,80.11,82.32
2018,1,United,"5,765,091","2,099,654","7,864,745","44,638","13,513","58,151","7,273,716","7,170,008","14,443,724","8,953,156","9,234,903","18,188,058",81.24,77.64,79.41
2018,2,United,"5,500,603","1,818,739","7,319,342","41,611","12,058","53,669","6,794,631","6,177,636","12,972,267","8,259,250","8,371,319","16,630,569",82.27,73.8,78
2018,3,United,"6,908,921","2,373,740","9,282,661","48,896","14,670","63,566","8,738,414","7,907,957","16,646,372","10,155,473","9,745,480","19,900,953",86.05,81.14,83.65
2018,4,United,"6,997,037","2,174,385","9,171,422","49,966","13,722","63,688","8,898,533","7,478,977","16,377,510","10,327,668","9,570,988","19,898,656",86.16,78.14,82.3
2018,5,United,"7,416,877","2,222,903","9,639,780","52,779","13,567","66,346","9,389,683","8,174,125","17,563,808","10,808,912","10,235,514","21,044,426",86.87,79.86,83.46
2018,6,United,"7,953,658","2,640,872","10,594,530","55,024","15,145","70,169","10,219,056","9,278,100","19,497,157","11,383,563","10,650,293","22,033,856",89.77,87.12,88.49
2018,7,United,"8,359,598","2,872,933","11,232,531","57,157","16,212","73,369","10,831,425","9,824,070","20,655,495","11,862,389","11,189,572","23,051,961",91.31,87.8,89.6
2018,8,United,"8,124,419","2,605,443","10,729,862","57,536","14,903","72,439","10,376,589","9,327,406","19,703,995","11,771,387","10,704,595","22,475,982",88.15,87.13,87.67
2018,9,United,"6,958,417","2,000,431","8,958,848","52,837","12,025","64,862","8,620,613","7,740,558","16,361,170","10,542,313","9,640,619","20,182,932",81.77,80.29,81.06
2018,10,United,"7,660,817","2,057,748","9,718,565","55,635","12,494","68,129","9,399,278","7,811,112","17,210,390","11,032,446","9,881,377","20,913,823",85.2,79.05,82.29
2018,11,United,"7,199,379","2,051,315","9,250,694","51,388","12,403","63,791","8,816,716","7,294,309","16,111,026","10,243,139","9,162,455","19,405,594",86.07,79.61,83.02
2018,12,United,"7,051,231","2,340,358","9,391,589","51,589","14,276","65,865","9,035,129","8,107,970","17,143,098","10,819,657","9,870,654","20,690,311",83.51,82.14,82.86
2019,1,United,"6,073,592","2,182,657","8,256,249","46,338","13,826","60,164","7,850,839","7,640,621","15,491,460","9,671,551","9,645,290","19,316,841",81.17,79.22,80.2
2019,2,United,"5,801,648","1,893,310","7,694,958","43,605","12,262","55,867","7,264,211","6,447,387","13,711,599","8,894,706","8,531,884","17,426,589",81.67,75.57,78.68
2019,3,United,"7,545,265","2,421,434","9,966,699","53,156","14,753","67,909","9,637,967","8,144,049","17,782,017","11,170,691","10,045,768","21,216,459",86.28,81.07,83.81
2019,4,United,"7,345,606","2,322,015","9,667,621","51,932","14,164","66,096","9,357,143","7,998,916","17,356,058","10,866,921","9,852,501","20,719,421",86.11,81.19,83.77
2019,5,United,"7,773,445","2,438,428","10,211,873","54,291","14,381","68,672","9,820,087","8,888,603","18,708,690","11,216,868","10,711,234","21,928,102",87.55,82.98,85.32
2019,6,United,"8,068,838","2,800,297","10,869,135","54,112","16,063","70,175","10,500,473","9,691,058","20,191,530","11,544,132","11,019,971","22,564,103",90.96,87.94,89.49
2019,7,United,"8,341,959","2,920,064","11,262,023","55,791","16,693","72,484","10,930,448","9,910,296","20,840,744","11,995,900","11,306,719","23,302,619",91.12,87.65,89.44
2019,8,United,"7,987,309","2,744,601","10,731,910","55,966","15,569","71,535","10,400,714","9,653,082","20,053,796","11,855,912","10,994,061","22,849,973",87.73,87.8,87.76
2019,9,United,"6,843,518","2,189,668","9,033,186","51,416","12,900","64,316","8,551,909","8,325,108","16,877,016","10,459,835","10,209,027","20,668,862",81.76,81.55,81.65
2019,10,United,"7,542,338","2,185,195","9,727,533","55,041","13,123","68,164","9,409,424","8,140,106","17,549,530","11,220,727","10,139,086","21,359,813",83.86,80.28,82.16
2019,11,United,"6,783,563","2,157,870","8,941,433","49,995","13,443","63,438","8,521,892","7,567,648","16,089,540","10,453,350","9,609,589","20,062,939",81.52,78.75,80.2
2019,12,United,"7,365,054","2,484,469","9,849,523","51,295","14,887","66,182","9,621,425","8,667,401","18,288,826","11,058,804","10,341,766","21,400,570",87,83.81,85.46
2020,1,United,"6,411,067","2,284,334","8,695,401","48,248","14,114","62,362","8,294,755","8,052,302","16,347,056","10,158,193","9,975,155","20,133,347",81.66,80.72,81.19
2020,2,United,"6,085,155","1,863,176","7,948,331","46,225","12,454","58,679","7,736,103","5,961,625","13,697,728","9,638,937","8,246,827","17,885,763",80.26,72.29,76.58
2020,3,United,"3,467,290","1,063,399","4,530,689","41,503","9,832","51,335","4,513,728","3,310,799","7,824,527","9,020,064","6,091,270","15,111,334",50.04,54.35,51.78
2020,4,United,"185,491","35,529","221,020","8,998",744,"9,742","229,099","121,496","350,595","1,742,965","566,907","2,309,872",13.14,21.43,15.18
2020,5,United,"396,780","54,538","451,318","7,065",737,"7,802","501,236","193,560","694,795","1,363,340","765,795","2,129,135",36.77,25.28,32.63
2020,6,United,"661,275","96,671","757,946","7,300","1,124","8,424","838,579","310,911","1,149,490","1,524,141","912,165","2,436,307",55.02,34.08,47.18
2020,7,United,"1,207,341","186,585","1,393,926","14,958","2,320","17,278","1,518,114","558,424","2,076,538","3,110,177","1,659,587","4,769,764",48.81,33.65,43.54
2020,8,United,"1,790,563","305,996","2,096,559","21,403","3,534","24,937","2,163,994","913,671","3,077,665","4,435,060","2,487,133","6,922,193",48.79,36.74,44.46
