Date,EnergyStorage
2021:Q1,0.43
2021:Q2,1.26
2021:Q3,1.28
2021:Q4,0.97
2022:Q1,0.85
2022:Q2,1.1
2022:Q3,2.1
2022:Q4,2.5
2023:Q1,3.9
2023:Q2,3.7
2023:Q3,4
