Country,Continent,City,Year,ProductPerCapita,UnemploymentRate,ImprovedWater,PhycisianDensityPer1000,InternetAccess,TrafficFatalitiesPer100k,LifeExpectancy,Under5MortalityRate,LiteracyRate,YearsOfSchooling,HomicideRate,Gini,PovertyRate,SlumHouseHolds,YouthUnemployment,CO2Emissions,VoterTurnout
Brazil,America,Santo André,2016," 19,698.62 ", 8.32 , 97.40 , 2.51 , 55.90 ,, 76.66 , 14.10 , 97.22 , 9.79 , 10.32 , 0.54 , 3.24 , 12.64 , 15.20 ,, 82.05 
Brazil,America,São Bernardo do Campo,2016," 22,438.26 ", 8.55 , 97.76 , 1.44 , 53.94 ,, 76.65 , 14.40 , 96.96 , 9.70 , 8.50 , 0.55 , 3.54 , 19.96 , 15.67 ,, 84.04 
Brazil,America,São Caetano do Sul,2016," 45,359.09 ", 6.52 , 98.55 , 4.25 , 67.64 ,, 78.20 , 11.00 , 98.45 , 10.74 , 2.54 , 0.55 , 0.52 , -   , 13.46 ,, 89.63 
Brazil,America,São Lourenço da Serra,2016," 20,164.68 ", 8.56 , 91.85 , 0.36 , 20.94 ,, 74.36 , 18.20 , 91.78 , 7.37 , 13.31 , 0.51 , 7.73 , -   , 15.53 ,, 84.73 
Brazil,America,São Paulo,2016," 28,079.44 ", 7.73 , 98.50 , 4.30 , 53.22 ,, 76.30 , 14.70 , 96.82 , 9.51 , 10.07 , 0.65 , 4.27 , 11.38 , 15.00 ,, 81.52 
Brazil,America,Suzano,2016," 12,766.01 ", 11.91 , 97.65 , 0.91 , 33.77 ,, 77.36 , 13.60 , 95.15 , 8.51 , 10.98 , 0.49 , 8.54 , 2.16 , 20.82 ,, 84.43 
Brazil,America,Taboão da Serra,2016," 14,908.80 ", 8.48 , 99.34 , 0.23 , 45.59 ,, 76.79 , 13.60 , 96.03 , 8.85 , 9.32 , 0.49 , 4.72 , 11.01 , 15.88 ,, 83.14 
Brazil,America,Vargem Grande Paulista,2016," 15,437.62 ", 7.55 , 98.35 , 1.00 , 37.55 ,, 78.02 , 11.30 , 95.89 , 8.26 , 10.44 , 0.52 , 4.33 , -   , 13.49 ,, 84.48 
Colombia,America,Armenia,2013," 8,235.09 ", 15.40 , 100.00 , 151.20 , 42.20 , 10.00 , 74.50 , 11.70 , 97.10 , 8.90 , 31.00 , 0.50 , 6.60 , 7.30 , 24.10 , 1.60 ,
Colombia,America,Barranquilla,2013," 9,806.11 ", 8.00 , 100.00 , 11.80 , 39.10 , 4.00 , 75.49 , 20.50 , 97.00 , 9.50 , 26.00 , 0.46 , 6.60 , 11.90 , 16.80 , 1.60 ,
Colombia,America,Bogotá,2013," 17,927.36 ", 9.00 , 99.90 , 81.00 , 51.50 , 7.00 , 78.01 , 13.30 , 98.20 , 10.10 , 16.00 , 0.50 , 1.60 , 4.20 , 14.80 , 1.60 ,
Colombia,America,Bucaramanga,2013," 15,472.15 ", 9.40 , 99.90 , 42.00 , 51.00 , 13.00 , 75.33 , 16.00 , 97.30 , 9.20 , 18.00 , 0.44 , 1.20 , 4.70 , 16.50 , 1.60 ,
Colombia,America,Cali,2013," 12,234.05 ", 14.20 , 99.80 , 104.50 , 45.40 , 14.00 , 75.33 , 16.40 , 97.40 , 9.10 , 85.00 , 0.51 , 4.40 , 5.40 , 23.90 , 1.60 ,
Colombia,America,Cartagena,2013," 16,681.96 ", 9.90 , 98.70 , 16.40 , 43.00 , 4.00 , 74.15 , 15.00 , 97.10 , 9.80 , 28.00 , 0.48 , 5.80 , 15.10 , 19.70 , 1.60 ,
Colombia,America,Cúcuta,2013," 7,328.52 ", 15.60 , 99.40 , 106.40 , 29.50 , 5.00 , 72.63 , 12.20 , 95.60 , 8.00 , 42.00 , 0.44 , 6.00 , 25.60 , 24.10 , 1.60 ,
Colombia,America,Florencia,2013," 7,989.41 ", 12.20 , 97.95 , 248.90 , 22.60 , 16.00 , 68.48 , 12.00 , 94.40 , 8.20 , 46.00 , 0.50 , 7.70 , 15.50 , 20.00 , 1.60 ,
Colombia,America,Ibagué,2013," 8,916.73 ", 13.80 , 99.70 , 317.75 , 45.90 , 13.00 , 73.32 , 13.70 , 97.30 , 9.30 , 17.00 , 0.45 , 2.50 , 5.00 , 22.00 , 1.60 ,
Colombia,America,Manizales,2013," 9,652.10 ", 11.60 , 99.90 , 78.10 , 54.60 , 10.00 , 74.52 , 18.90 , 97.30 , 9.50 , 28.00 , 0.47 , 2.60 , 3.80 , 19.60 , 1.60 ,
Colombia,America,Medellín,2013," 13,638.41 ", 11.20 , 99.90 , 114.00 , 52.00 , 7.00 , 75.07 , 13.80 , 97.10 , 9.30 , 38.00 , 0.51 , 3.00 , 6.50 , 17.60 , 1.60 ,
Colombia,America,Montería,2013," 8,547.47 ", 10.90 , 98.60 , 55.30 , 32.10 , 10.00 , 73.73 , 31.00 , 96.30 , 9.20 , 31.00 , 0.53 , 6.50 , 14.40 , 20.30 , 1.60 ,
Colombia,America,Neiva,2013," 11,065.53 ", 11.90 , 99.80 , 123.10 , 46.80 , 15.00 , 73.23 , 19.20 , 96.30 , 9.20 , 31.00 , 0.48 , 4.60 , 8.00 , 20.50 , 1.60 ,
Colombia,America,Pasto,2013," 9,060.98 ", 10.70 , 99.90 , 117.30 , 38.70 , 13.00 , 73.21 , 22.40 , 97.20 , 9.40 , 25.00 , 0.51 , 4.40 , 6.30 , 18.90 , 1.60 ,
Colombia,America,Pereira,2013," 9,697.96 ", 13.80 , 99.70 , 94.90 , 46.10 , 20.00 , 74.70 , 13.60 , 96.90 , 8.50 , 39.00 , 0.48 , 5.10 , 3.80 , 22.00 , 1.60 ,
Colombia,America,Popoyan,2013," 9,286.92 ", 15.60 , 99.80 , 133.10 , 42.80 , 11.00 , 71.89 , 14.70 , 97.50 , 9.70 , 29.00 , 0.51 , 8.10 , 6.70 , 28.40 , 1.60 ,
Colombia,America,Quibdó,2013," 6,142.53 ", 18.30 , 10.50 , 200.40 , 25.00 , 19.00 , 69.30 , 16.40 , 94.00 , 10.10 , 106.00 , 0.54 , 17.50 , 93.90 , 25.10 , 1.60 ,
Colombia,America,Riohacha,2013," 5,128.62 ", 10.30 , 98.50 , 44.82 , 24.50 , 12.00 , 74.40 , 33.30 , 93.90 , 9.80 , 19.00 , 0.52 , 12.70 , 35.70 , 15.60 , 1.60 ,
Colombia,America,Santa Marta,2013," 6,876.01 ", 9.90 , 96.30 , 47.10 , 30.80 , 11.00 , 75.07 , 20.90 , 96.40 , 9.30 , 31.00 , 0.46 , 6.50 , 33.80 , 18.10 , 1.60 ,
Colombia,America,Sincelejo,2013," 6,963.27 ", 10.40 , 93.70 , 91.20 , 28.70 , 16.00 , 74.37 , 10.50 , 91.70 , 8.60 , 30.00 , 0.48 , 6.10 , 24.90 , 18.40 , 1.60 ,
Colombia,America,Tunja,2013," 11,114.74 ", 12.10 , 100.00 , 100.90 , 39.30 , 10.00 , 75.32 , 12.00 , 98.10 , 10.70 , 8.00 , 0.48 , 2.80 , 2.80 , 19.30 , 1.60 ,
Colombia,America,Valledupar,2013," 7,158.97 ", 9.90 , 100.00 , 67.90 , 35.10 , 15.00 , 73.80 , 18.50 , 95.00 , 9.30 , 22.00 , 0.46 , 4.40 , 13.20 , 16.70 , 1.60 ,
Colombia,America,Villavicencio,2013," 11,780.54 ", 11.30 , 99.90 , 65.00 , 36.70 , 17.00 , 71.58 , 16.20 , 96.90 , 8.90 , 29.00 , 0.44 , 3.10 , 6.20 , 18.20 , 1.60 ,
Ecuador,America,Ambato,2015," 14,379.16 ", 3.68 , 97.40 , 5.79 , 59.31 , 16.35 , 76.39 , 4.68 , 95.71 , 9.88 , 5.45 , 0.44 , 2.47 , 15.47 , 8.44 , 1.36 , 65.00 
Ecuador,America,Babahoyo,2015," 10,639.45 ", 6.50 , 81.85 , 4.42 , 35.65 , 36.59 , 72.81 , 7.52 , 95.07 , 8.55 , 13.31 , 0.59 , 8.85 , 34.16 , 10.15 , 2.31 , 80.70 
Ecuador,America,Chone,2015," 10,614.25 ", 1.77 , 75.31 , 5.02 , 48.98 , 41.66 , 75.32 , 4.34 , 93.08 , 8.95 , 9.47 , 0.49 , 9.42 , 29.55 , 9.45 , 2.31 , 84.30 
Ecuador,America,Cuenca,2015," 14,294.90 ", 2.30 , 96.30 , 6.21 , 67.60 , 12.43 , 78.04 , 6.24 , 95.61 , 9.93 , 3.03 , 0.39 , 2.30 , 10.99 , 4.70 , 2.42 , 70.70 
Ecuador,America,Daule,2015," 9,112.45 ", 2.62 , 72.60 , 1.61 , 48.50 , 32.24 , 74.42 , 6.50 , 93.98 , 8.79 , 9.21 , 0.49 , 4.78 , 39.67 , 17.00 , 2.31 , 86.29 
Ecuador,America,Duran,2015," 10,250.61 ", 4.18 , 60.36 , 0.69 , 48.50 , 12.56 , 74.42 , 8.89 , 95.65 , 7.84 , 3.03 , 0.46 , 4.78 , 45.97 , 16.24 , 2.31 , 80.45 
Ecuador,America,Esmeraldas,2015," 8,225.67 ", 10.64 , 90.34 , 3.01 , 47.04 , 18.83 , 73.64 , 7.28 , 94.12 , 8.99 , 17.53 , 0.52 , 20.73 , 26.07 , 17.97 , 5.91 , 66.20 
Ecuador,America,Guayaquil,2015," 11,176.23 ", 4.01 , 84.81 , 3.01 , 47.18 , 18.57 , 74.42 , 9.58 , 95.88 , 8.47 , 10.27 , 0.41 , 1.54 , 32.20 , 12.46 , 2.63 , 68.60 
Ecuador,America,Ibarra,2015," 12,128.05 ", 7.97 , 95.47 , 4.03 , 60.83 , 28.06 , 76.20 , 6.42 , 94.92 , 9.13 , 5.31 , 0.43 , 9.49 , 14.22 , 11.73 , 2.31 , 66.20 
Ecuador,America,Lago Agrio,2015," 9,329.40 ", 9.61 , 42.21 , 3.95 , 50.45 , 78.25 , 75.01 , 8.89 , 93.74 , 8.08 , 53.54 , 0.44 , 13.50 , 33.01 , 18.90 , 2.31 , 78.80 
Ecuador,America,Latacunga,2015," 15,347.74 ", 4.47 , 96.20 , 6.08 , 61.99 , 61.09 , 75.11 , 7.26 , 95.01 , 9.99 , 3.13 , 0.45 , 7.71 , 13.85 , 5.29 , 1.97 , 72.30 
Ecuador,America,Loja,2015," 11,406.43 ", 7.65 , 92.59 , 5.34 , 74.14 , 9.98 , 78.32 , 6.48 , 96.18 , 10.45 , 1.76 , 0.43 , 12.01 , 17.87 , 6.07 , 2.31 , 63.90 
Ecuador,America,Machala,2015," 11,948.26 ", 2.48 , 80.59 , 4.62 , 58.43 , 12.11 , 75.63 , 6.80 , 95.64 , 8.67 , 10.38 , 0.45 , 3.11 , 29.10 , 6.48 , 2.31 , 67.50 
Ecuador,America,Manta,2015," 11,241.67 ", 3.18 , 77.86 , 3.41 , 48.98 , 20.23 , 75.32 , 6.10 , 93.96 , 8.67 , 14.25 , 0.43 , 9.42 , 33.86 , 5.25 , 1.75 , 83.40 
Ecuador,America,Milagro,2015," 10,275.54 ", 1.89 , 73.65 , 3.62 , 48.50 , 20.97 , 74.42 , 6.71 , 94.88 , 8.06 , 9.74 , 0.49 , 4.78 , 32.16 , 13.25 , 2.31 , 81.79 
Ecuador,America,Morona,2015," 10,458.15 ", 6.44 , 96.75 , 5.32 , 74.52 , 42.14 , 75.01 , 8.87 , 94.87 , 9.44 , 10.54 , 0.49 , 35.79 , 16.84 , 6.25 , 2.31 , 62.80 
Ecuador,America,Orellana,2015," 9,181.79 ", 5.61 , 76.96 , 4.39 , 49.99 , 44.19 , 75.01 , 6.65 , 93.87 , 7.91 , 12.28 , 0.49 , 19.50 , 33.87 , 10.31 , 2.31 , 88.60 
Ecuador,America,Otavalo,2015," 11,095.00 ", 8.43 , 89.78 , 3.43 , 60.83 , 15.25 , 76.20 , 3.54 , 91.11 , 8.74 , 7.62 , 0.49 , 9.49 , 23.24 , 12.94 , 2.31 , 79.19 
Ecuador,America,Portoviejo,2015," 10,965.83 ", 3.74 , 72.97 , 3.94 , 48.98 , 23.22 , 75.32 , 6.04 , 93.96 , 9.23 , 5.32 , 0.45 , 9.42 , 37.28 , 7.82 , 1.03 , 74.40 
Ecuador,America,Quevedo,2015," 10,338.46 ", 7.30 , 69.45 , 2.39 , 35.65 , 23.21 , 72.81 , 4.68 , 92.87 , 7.75 , 31.16 , 0.36 , 8.85 , 30.68 , 10.82 , 2.31 , 79.54 
Ecuador,America,Quininde,2015," 8,487.18 ", 3.35 , 52.47 , 3.42 , 47.04 , 79.51 , 73.64 , 5.02 , 91.70 , 7.81 , 48.40 , 0.49 , 20.73 , 32.67 , 11.87 , 2.31 , 81.67 
Ecuador,America,Quito,2015," 11,227.88 ", 3.22 , 97.31 , 5.22 , 63.40 , 18.66 , 77.25 , 8.80 , 95.74 , 9.68 , 5.10 , 0.51 , 1.55 , 9.74 , 10.93 , 2.84 , 63.70 
Ecuador,America,Riobamba,2015," 14,653.84 ", 2.77 , 95.66 , 5.13 , 60.83 , 23.92 , 74.58 , 6.93 , 95.99 , 10.21 , 2.73 , 0.47 , 16.15 , 10.23 , 3.85 , 2.90 , 71.60 
Ecuador,America,Santa Elena,2015," 9,905.02 ", 5.43 , 78.33 , 6.65 , 36.12 , 47.88 , 77.33 , 6.25 , 94.87 , 8.35 , 10.08 , 0.41 , 9.27 , 46.41 , 14.34 , 2.31 , 93.50 
Ecuador,America,Santo Domingo,2015," 10,327.80 ", 4.25 , 55.32 , 2.84 , 48.12 , 34.70 , 75.01 , 5.28 , 93.40 , 7.88 , 14.03 , 0.49 , 5.35 , 28.47 , 14.56 , 1.39 , 75.00 
