Country,Continent,City,Year,ProductPerCapita,UnemploymentRate,ImprovedWater,PhycisianDensityPer1000,InternetAccess,TrafficFatalitiesPer100k,LifeExpectancy,Under5MortalityRate,LiteracyRate,YearsOfSchooling,HomicideRate,Gini,PovertyRate,SlumHouseHolds,YouthUnemployment,CO2Emissions,VoterTurnout
Mexico,America,Tapachula,2015," 2,056.15 ", 1.55 , 77.27 , 3.42 , 12.81 , 4.05 , 72.47 , 22.56 , 90.10 , 9.57 , 42.15 , 0.50 , 22.97 , 18.14 , 5.19 , 3.90 , 41.22 
Mexico,America,Tuxtla Gutiérrez,2015," 3,548.46 ", 1.78 , 84.62 , 3.79 , 26.32 , 1.85 , 72.47 , 14.69 , 93.97 , 10.43 , 37.53 , 0.47 , 13.84 , 47.29 , 5.44 , 3.90 , 25.92 
Mexico,America,Aquiles Serdán,2015," 1,645.33 ", 2.89 , 99.38 , 1.13 , 4.57 , 7.57 , 71.53 , 12.66 , 96.15 , 9.01 , 14.57 , 0.39 , 6.20 , 7.20 , 9.06 , 3.90 , 55.27 
Mexico,America,Cuauhtémoc,2015," 4,080.82 ", 1.88 , 99.51 , 3.10 , 22.54 , 11.17 , 71.53 , 25.28 , 96.99 , 9.53 , 33.56 , 0.40 , 19.85 , 5.02 , 6.01 , 3.90 , 36.25 
Mexico,America,Chihuahua,2015," 7,058.77 ", 2.94 , 97.87 , 3.13 , 40.27 , 7.20 , 71.53 , 15.13 , 97.90 , 11.30 , 27.34 , 0.42 , 10.01 , 2.13 , 10.02 , 3.90 , 37.83 
Mexico,America,Delicias,2015," 4,111.24 ", 2.88 , 99.58 , 3.59 , 25.33 , 2.68 , 71.53 , 12.45 , 96.84 , 9.71 , 17.22 , 0.43 , 6.05 , 2.72 , 9.84 , 3.90 , 48.60 
Mexico,America,Juárez,2015," 6,193.62 ", 3.89 , 97.93 , 2.12 , 25.33 , 5.21 , 71.53 , 16.68 , 96.74 , 11.16 , 31.75 , 0.42 , 13.51 , 4.96 , 10.75 , 3.90 , 29.94 
Mexico,America,Azcapotzalco,2015," 28,712.87 ", 3.12 , 99.93 , 13.59 , 42.86 , 1.70 , 75.84 , 16.71 , 97.35 , 11.95 , 14.44 , 0.42 , 3.67 , 4.78 , 11.06 , 3.90 , 68.27 
Mexico,America,Coyoacán,2015," 7,778.79 ", 3.09 , 99.89 , 6.36 , 51.19 , 1.62 , 75.84 , 12.49 , 97.71 , 13.37 , 13.32 , 0.46 , 3.58 , 7.61 , 10.56 , 3.90 , 70.10 
Mexico,America,Cuajimalpa de Morelos,2015," 58,057.90 ", 2.34 , 97.27 , 1.82 , 42.71 , 8.89 , 75.84 , 16.43 , 96.80 , 15.98 , 13.04 , 0.48 , 3.30 , 24.47 , 7.06 , 3.90 , 65.41 
Mexico,America,Gustavo A. Madero,2015," 2,939.96 ", 3.12 , 99.84 , 6.76 , 34.54 , 3.98 , 75.84 , 15.57 , 97.06 , 11.53 , 17.27 , 0.41 , 6.71 , 5.10 , 10.66 , 3.90 , 65.67 
Mexico,America,Iztacalco,2015," 4,867.40 ", 2.92 , 98.50 , 4.52 , 39.13 , 6.31 , 75.84 , 15.26 , 97.22 , 11.60 , 16.13 , 0.41 , 5.31 , 3.35 , 9.84 , 3.90 , 67.08 
Mexico,America,Iztapalapa,2015," 3,558.14 ", 2.96 , 99.72 , 2.77 , 28.73 , 2.54 , 75.84 , 16.10 , 96.61 , 10.18 , 15.39 , 0.41 , 8.82 , 29.11 , 9.73 , 3.90 , 63.12 
Mexico,America,La Magdalena Contreras,2015, 895.46 , 2.78 , 94.92 , 2.30 , 36.58 , 1.24 , 75.84 , 13.96 , 95.42 , 12.43 , 5.37 , 0.44 , 5.62 , 14.05 , 9.24 , 3.90 , 67.07 
Mexico,America,Milpa Alta,2015, 823.45 , 2.35 , 98.10 , 2.71 , 16.81 , 8.85 , 75.84 , 21.60 , 14.06 , 9.33 , 13.94 , 0.40 , 9.76 , 40.84 , 7.93 , 3.90 , 63.17 
Mexico,America,Álvaro Obregón,2015," 32,951.54 ", 2.72 , 99.54 , 5.57 , 42.33 , 2.18 , 75.84 , 15.24 , 96.60 , 12.62 , 13.90 , 0.44 , 6.39 , 7.86 , 8.87 , 3.90 , 67.15 
Mexico,America,Tláhuac,2015," 1,587.01 ", 2.55 , 98.79 , 2.18 , 27.94 , 1.09 , 75.84 , 17.22 , 96.95 , 10.01 , 15.59 , 0.39 , 9.46 , 14.49 , 8.99 , 3.90 , 62.12 
Mexico,America,Tlalpan,2015," 11,109.68 ", 2.84 , 88.87 , 10.44 , 41.52 , 5.40 , 75.84 , 11.68 , 96.78 , 11.93 , 13.63 , 0.46 , 5.07 , 36.97 , 9.10 , 3.90 , 66.70 
Mexico,America,Xochimilco,2015," 2,854.26 ", 2.80 , 95.97 , 1.58 , 31.50 , 2.63 , 75.84 , 15.02 , 96.52 , 11.46 , 14.37 , 0.44 , 5.59 , 20.04 , 9.41 , 3.90 , 63.47 
Mexico,America,Benito Juárez,2015," 68,280.58 ", 2.56 , 97.80 , 12.34 , 66.13 , 5.28 , 75.84 , 8.53 , 98.29 , 14.94 , 17.85 , 0.45 , 1.27 , 2.69 , 8.32 , 3.90 , 70.85 
Mexico,America,Cuauhtémoc,2015," 107,032.97 ", 2.79 , 96.89 , 17.37 , 42.46 , 6.53 , 75.84 , 20.64 , 97.40 , 13.70 , 26.17 , 0.45 , 4.20 , 3.41 , 8.33 , 3.90 , 64.42 
Mexico,America,Miguel Hidalgo,2015," 114,645.15 ", 2.40 , 99.92 , 10.66 , 52.66 , 0.79 , 75.84 , 19.94 , 97.88 , 13.31 , 19.97 , 0.45 , 2.21 , 2.39 , 8.19 , 3.90 , 67.94 
Mexico,America,Venustiano Carranza,2015," 7,707.08 ", 3.02 , 94.59 , 4.64 , 37.31 , 5.65 , 75.84 , 16.55 , 97.72 , 11.13 , 26.52 , 0.42 , 5.74 , 4.28 , 10.32 , 3.90 , 65.63 
Mexico,America,Durango,2015," 1,580.16 ", 2.86 , 99.50 , 4.78 , 25.99 , 4.33 , 74.82 , 16.87 , 97.41 , 10.97 , 16.78 , 0.44 , 14.67 , 6.10 , 9.44 , 3.90 , 44.33 
Mexico,America,Gómez Palacio,2015," 3,697.27 ", 4.22 , 99.60 , 3.38 , 19.12 , 8.36 , 74.82 , 13.46 , 96.97 , 11.10 , 39.66 , 0.42 , 14.00 , 7.03 , 15.27 , 3.90 , 50.12 
Mexico,America,Apaseo el Grande,2015," 8,303.97 ", 3.34 , 96.87 , 1.24 , 7.56 , 5.57 , 75.11 , 12.79 , 89.31 , 7.56 , 49.60 , 0.38 , 18.04 , 21.24 , 10.51 , 3.90 , 37.32 
Mexico,America,Celaya,2015," 6,357.52 ", 2.92 , 97.65 , 2.54 , 23.39 , 3.26 , 75.11 , 14.53 , 94.09 , 10.11 , 29.91 , 0.48 , 12.96 , 6.33 , 9.15 , 3.90 , 34.43 
Mexico,America,Guanajuato,2015," 2,295.80 ", 3.10 , 96.30 , 3.16 , 24.76 , 0.56 , 75.11 , 13.91 , 94.30 , 10.47 , 30.33 , 0.48 , 11.79 , 7.40 , 10.93 , 3.90 , 31.07 
Mexico,America,Irapuato,2015," 6,214.58 ", 2.99 , 97.21 , 2.24 , 19.25 , 2.34 , 75.11 , 14.01 , 93.31 , 10.27 , 35.96 , 0.46 , 14.48 , 7.06 , 10.33 , 3.90 , 34.71 
Mexico,America,León,2015," 6,109.87 ", 2.67 , 93.97 , 3.32 , 20.78 , 1.93 , 75.11 , 10.54 , 94.37 , 8.90 , 32.43 , 0.44 , 10.65 , 4.93 , 7.44 , 3.90 , 35.28 
Mexico,America,Salamanca,2015," 6,499.85 ", 3.58 , 98.63 , 2.98 , 19.69 , 0.37 , 75.11 , 16.09 , 92.13 , 8.87 , 43.04 , 0.44 , 12.34 , 7.09 , 12.12 , 3.90 , 34.46 
Mexico,America,Silao de la Victoria,2015," 16,350.70 ", 3.26 , 91.36 , 1.98 , 8.96 , 1.64 , 75.11 , 11.85 , 90.62 , 8.14 , 50.32 , 0.44 , 20.24 , 24.72 , 9.54 , 3.90 , 35.73 
Mexico,America,Villagrán,2015," 21,139.80 ", 3.22 , 96.09 , 1.75 , 11.13 , 1.72 , 75.11 , 24.90 , 91.67 , 7.19 , 71.57 , 0.36 , 15.15 , 18.92 , 11.37 , 3.90 , 51.36 
Mexico,America,Acapulco de Juárez,2015," 2,078.93 ", 2.72 , 83.96 , 3.37 , 19.16 , 2.29 , 72.47 , 14.72 , 91.32 , 9.60 , 94.35 , 0.44 , 19.20 , 49.93 , 8.27 , 3.90 , 46.50 
Mexico,America,Chilpancingo de los Bravo,2015," 1,911.72 ", 1.90 , 74.66 , 3.30 , 20.08 , 2.72 , 72.47 , 14.68 , 91.09 , 10.46 , 86.42 , 0.47 , 20.66 , 90.02 , 5.99 , 3.90 , 46.00 
Mexico,America,Atotonilco de Tula,2015," 5,549.70 ", 2.97 , 94.38 , 1.12 , 10.51 , 9.10 , 74.08 , 15.18 , 95.03 , 9.00 , 17.94 , 0.41 , 12.13 , 43.57 , 10.02 , 3.90 , 67.42 
Mexico,America,Huejutla de Reyes,2015," 1,078.26 ", 2.14 , 94.69 , 2.27 , 7.04 , 6.38 , 74.08 , 8.40 , 77.51 , 9.93 , 21.39 , 0.50 , 35.29 , 49.92 , 7.38 , 3.90 , 63.26 
Mexico,America,Pachuca de Soto,2015," 4,513.70 ", 2.71 , 97.31 , 7.38 , 32.27 , 0.74 , 74.08 , 15.01 , 96.60 , 11.17 , 54.90 , 0.45 , 8.34 , 17.57 , 8.97 , 3.90 , 47.68 
Mexico,America,Mineral de la Reforma,2015," 1,917.51 ", 2.70 , 98.64 , 0.49 , 30.33 , 3.21 , 74.08 , 20.74 , 97.61 , 11.36 , 10.46 , 0.47 , 5.97 , 4.17 , 9.27 , 3.90 , 42.96 
Mexico,America,Tizayuca,2015," 4,205.48 ", 2.78 , 99.59 , 1.37 , 12.04 , 1.69 , 74.08 , 12.73 , 97.02 , 9.83 , 23.63 , 0.41 , 9.75 , 6.12 , 9.10 , 3.90 , 42.88 
Mexico,America,Tulancingo de Bravo,2015," 2,211.16 ", 2.65 , 98.17 , 2.91 , 15.97 , 2.48 , 74.08 , 13.34 , 92.19 , 8.83 , 34.26 , 0.42 , 18.17 , 16.61 , 7.60 , 3.90 , 51.29 
Mexico,America,Zapotlán el Grande,2015," 5,344.61 ", 2.28 , 98.51 , 3.95 , 27.03 , 12.44 , 75.18 , 11.28 , 95.49 , 10.41 , 7.58 , 0.44 , 6.30 , 3.90 , 6.09 , 3.90 , 53.42 
Mexico,America,Guadalajara,2015," 7,925.74 ", 2.29 , 99.87 , 7.47 , 38.72 , 2.94 , 75.18 , 13.15 , 97.31 , 11.04 , 10.33 , 0.43 , 6.28 , 3.16 , 6.98 , 3.90 , 51.92 
Mexico,America,Ixtlahuacán de los Membrillos,2015," 5,707.85 ", 2.49 , 99.31 , 0.82 , 11.97 , 12.02 , 75.18 , 11.79 , 96.19 , 8.43 , 0.00 , 0.41 , 12.19 , 10.24 , 8.48 , 3.90 , 51.78 
Mexico,America,Juanacatlán,2015, 826.25 , 1.85 , 94.66 , 0.57 , 14.71 , 7.19 , 75.18 , 20.24 , 95.00 , 8.00 , 0.00 , 0.37 , 12.26 , 94.00 , 6.78 , 3.90 , 65.73 
Mexico,America,Lagos de Moreno,2015," 4,501.13 ", 3.40 , 98.69 , 2.55 , 17.37 , 6.16 , 75.18 , 13.22 , 92.38 , 8.61 , 24.94 , 0.43 , 16.60 , 7.08 , 10.80 , 3.90 , 49.60 
Mexico,America,Ocotlán,2015," 7,019.09 ", 2.39 , 93.86 , 2.38 , 5.34 , 4.16 , 75.18 , 18.65 , 94.55 , 9.64 , 15.48 , 0.44 , 9.08 , 8.28 , 6.98 , 3.90 , 49.21 
Mexico,America,Puerto Vallarta,2015," 4,121.94 ", 2.76 , 98.13 , 2.90 , 97.03 , 26.09 , 75.18 , 16.78 , 96.55 , 9.83 , 9.62 , 0.42 , 19.94 , 7.34 , 6.99 , 3.90 , 44.35 
Mexico,America,El Salto,2015," 12,734.98 ", 2.79 , 89.58 , 0.36 , 13.99 , 5.29 , 75.18 , 12.41 , 95.08 , 8.01 , 25.28 , 0.35 , 14.88 , 39.91 , 7.56 , 3.90 , 44.91 
Mexico,America,Tala,2015," 1,582.16 ", 2.74 , 94.43 , 3.13 , 14.40 , 11.95 , 75.18 , 12.92 , 93.97 , 8.48 , 0.00 , 0.38 , 10.97 , 7.53 , 8.19 , 3.90 , 54.06 
Mexico,America,Tlajomulco de Zúñiga,2015," 3,435.09 ", 2.45 , 98.61 , 1.46 , 20.62 , 3.77 , 75.18 , 12.81 , 97.01 , 9.25 , 17.76 , 0.40 , 10.48 , 8.54 , 7.24 , 3.90 , 45.17 
Mexico,America,San Pedro Tlaquepaque,2015," 4,430.39 ", 2.49 , 94.32 , 0.55 , 26.44 , 4.71 , 75.18 , 14.18 , 95.87 , 9.32 , 17.38 , 0.40 , 12.56 , 7.99 , 7.27 , 3.90 , 41.85 
Mexico,America,Tonalá,2015," 1,022.26 ", 2.52 , 88.92 , 0.44 , 20.52 , 0.78 , 75.18 , 14.16 , 96.09 , 9.08 , 12.61 , 0.41 , 9.59 , 8.19 , 6.60 , 3.90 , 38.92 
Mexico,America,Zapopan,2015," 8,008.64 ", 2.20 , 97.05 , 2.07 , 42.42 , 3.06 , 75.18 , 12.07 , 97.12 , 12.16 , 11.33 , 0.47 , 7.27 , 5.26 , 6.33 , 3.90 , 45.48 
Mexico,America,Chalco,2015," 1,348.74 ", 2.80 , 92.96 , 2.28 , 14.94 , 2.60 , 74.89 , 16.11 , 95.00 , 8.31 , 21.45 , 0.39 , 14.49 , 32.93 , 9.64 , 3.90 , 44.42 
Mexico,America,Ecatepec de Morelos,2015," 2,592.96 ", 3.10 , 96.73 , 2.43 , 25.75 , 0.87 , 74.89 , 15.53 , 96.64 , 9.78 , 34.13 , 0.39 , 11.91 , 48.23 , 10.15 , 3.90 , 41.60 
Mexico,America,Huehuetoca,2015," 1,478.95 ", 2.80 , 99.00 , 0.78 , 9.04 , 0.81 , 74.89 , 13.28 , 96.83 , 9.28 , 28.84 , 0.38 , 11.53 , 5.58 , 9.34 , 3.90 , 45.87 
Mexico,America,Lerma,2015," 14,939.45 ", 2.31 , 98.67 , 1.29 , 14.83 , 0.65 , 74.89 , 18.08 , 94.28 , 9.12 , 31.89 , 0.44 , 15.90 , 29.81 , 7.14 , 3.90 , 59.35 
Mexico,America,Naucalpan de Juárez,2015," 5,295.30 ", 2.66 , 98.36 , 2.45 , 31.34 , 0.11 , 74.89 , 15.32 , 96.29 , 11.82 , 28.85 , 0.45 , 7.21 , 14.02 , 8.33 , 3.90 , 45.28 
Mexico,America,Nezahualcóyotl,2015, 996.72 , 2.77 , 95.51 , 1.70 , 27.96 , 7.62 , 74.89 , 16.48 , 96.62 , 9.58 , 21.38 , 0.39 , 11.44 , 15.82 , 9.44 , 3.90 , 47.84 
Mexico,America,Nextlalpan,2015, 364.15 , 2.12 , 91.88 , 0.65 , 10.18 , 2.42 , 74.89 , 14.93 , 87.93 , 8.27 , 23.29 , 0.41 , 27.12 , 29.39 , 6.78 , 3.90 , 62.80 
Mexico,America,Nicolás Romero,2015, 644.20 , 3.25 , 92.41 , 0.50 , 19.26 , 1.23 , 74.89 , 18.11 , 95.39 , 9.14 , 13.67 , 0.40 , 12.41 , 27.19 , 10.07 , 3.90 , 46.89 
Mexico,America,Tecámac,2015," 1,152.96 ", 2.66 , 97.45 , 1.52 , 23.47 , 3.32 , 74.89 , 18.54 , 97.38 , 10.28 , 26.98 , 0.41 , 8.65 , 6.64 , 9.61 , 3.90 , 51.65 
Mexico,America,Tlalnepantla de Baz,2015," 7,563.74 ", 2.91 , 98.71 , 4.24 , 34.80 , 4.20 , 74.89 , 15.06 , 96.72 , 11.08 , 34.08 , 0.44 , 8.65 , 8.24 , 9.91 , 3.90 , 44.87 
Mexico,America,Toluca,2015," 10,686.27 ", 2.78 , 94.21 , 4.73 , 25.71 , 1.58 , 74.89 , 17.43 , 95.49 , 11.22 , 24.87 , 0.46 , 14.57 , 19.65 , 8.74 , 3.90 , 50.90 
Mexico,America,Zumpango,2015, 934.88 , 3.27 , 93.07 , 2.32 , 13.90 , 1.11 , 74.89 , 18.02 , 95.30 , 9.06 , 22.30 , 0.38 , 14.73 , 12.95 , 10.00 , 3.90 , 48.36 
Mexico,America,Lázaro Cárdenas,2015," 6,724.13 ", 2.79 , 95.48 , 3.43 , 20.65 , 3.21 , 74.32 , 10.53 , 91.89 , 10.18 , 64.29 , 0.42 , 13.55 , 14.54 , 8.86 , 3.90 , 43.46 
Mexico,America,Morelia,2015," 4,132.63 ", 2.86 , 95.95 , 3.66 , 28.12 , 6.08 , 74.32 , 13.76 , 95.21 , 11.17 , 52.59 , 0.47 , 12.37 , 14.64 , 8.49 , 3.90 , 53.44 
Mexico,America,La Piedad,2015," 3,190.29 ", 2.43 , 95.93 , 3.87 , 4.74 , 5.78 , 74.32 , 20.05 , 92.03 , 8.53 , 64.10 , 0.40 , 13.52 , 3.94 , 7.50 , 3.90 , 46.51 
Mexico,America,Tarímbaro,2015, 951.32 , 3.06 , 99.72 , 0.91 , 11.14 , 3.27 , 74.32 , 18.68 , 93.04 , 9.18 , 39.12 , 0.47 , 9.96 , 8.94 , 10.57 , 3.90 , 56.16 
Mexico,America,Uruapan,2015," 2,339.36 ", 1.54 , 95.67 , 2.56 , 17.61 , 1.20 , 74.32 , 12.45 , 92.83 , 8.76 , 61.99 , 0.48 , 18.26 , 15.10 , 4.43 , 3.90 , 50.53 
Mexico,America,Zamora,2015," 3,097.27 ", 1.96 , 85.24 , 3.27 , 18.30 , 3.11 , 74.32 , 15.39 , 90.66 , 7.94 , 45.80 , 0.48 , 16.53 , 6.14 , 5.54 , 3.90 , 46.34 
Mexico,America,Cuernavaca,2015," 5,428.50 ", 2.77 , 96.71 , 5.05 , 40.39 , 2.11 , 75.22 , 11.26 , 96.16 , 11.67 , 55.39 , 0.46 , 6.64 , 12.17 , 8.26 , 3.90 , 64.13 
Mexico,America,Temixco,2015," 1,991.37 ", 2.36 , 97.40 , 1.56 , 17.69 , 2.64 , 75.22 , 17.04 , 91.80 , 8.34 , 30.37 , 0.42 , 17.09 , 26.49 , 6.36 , 3.90 , 59.32 
Mexico,America,Tepic,2015," 3,261.13 ", 1.88 , 97.89 , 5.36 , 33.09 , 0.97 , 74.47 , 11.35 , 96.46 , 10.68 , 10.45 , 0.45 , 5.58 , 6.78 , 6.01 , 3.90 , 52.70 
Mexico,America,Bahía de Banderas,2015," 3,863.52 ", 3.38 , 97.26 , 1.66 , 21.85 , 3.38 , 74.47 , 15.31 , 94.87 , 10.55 , 7.16 , 0.42 , 13.49 , 6.91 , 7.97 , 3.90 , 51.98 
Mexico,America,Apodaca,2015," 8,044.35 ", 2.52 , 98.68 , 1.05 , 31.11 , 2.43 , 75.58 , 13.15 , 96.86 , 12.71 , 13.06 , 0.39 , 5.52 , 2.17 , 9.02 , 3.90 , 53.71 
Mexico,America,Cadereyta Jiménez,2015," 20,084.95 ", 1.94 , 98.85 , 2.33 , 22.07 , 6.43 , 75.58 , 8.13 , 96.39 , 11.75 , 45.31 , 0.40 , 7.60 , 3.17 , 7.14 , 3.90 , 55.13 
Mexico,America,El Carmen,2015, 374.64 , 2.33 , 85.02 , 0.61 , 8.48 , 10.12 , 75.58 , 16.81 , 96.41 , 9.35 , 43.66 , 0.36 , 6.57 , 12.11 , 8.80 , 3.90 , 57.01 
Mexico,America,Ciénega de Flores,2015," 3,905.43 ", 2.66 , 99.78 , 0.67 , 11.18 , 20.06 , 75.58 , 8.45 , 96.47 , 8.97 , 54.54 , 0.38 , 6.32 , 6.50 , 8.26 , 3.90 , 53.28 
Mexico,America,García,2015," 7,439.62 ", 2.33 , 97.84 , 0.35 , 11.82 , 5.72 , 75.58 , 14.01 , 96.53 , 12.73 , 22.52 , 0.42 , 13.27 , 8.65 , 7.28 , 3.90 , 55.47 
Mexico,America,General Escobedo,2015," 10,716.10 ", 2.51 , 98.25 , 0.21 , 26.13 , 1.80 , 75.58 , 12.08 , 97.13 , 10.37 , 14.62 , 0.40 , 6.47 , 4.18 , 8.51 , 3.90 , 51.07 
Mexico,America,General Zuazua,2015," 13,590.19 ", 2.22 , 98.94 , 0.06 , 6.37 , 1.45 , 75.58 , 10.26 , 97.80 , 9.51 , 9.65 , 0.36 , 6.95 , 2.68 , 6.64 , 3.90 , 50.51 
Mexico,America,Guadalupe,2015," 5,257.71 ", 2.81 , 97.07 , 1.69 , 38.59 , 3.76 , 75.58 , 13.03 , 96.46 , 12.42 , 10.06 , 0.43 , 3.25 , 2.61 , 10.09 , 3.90 , 58.63 
Mexico,America,Juárez,2015," 1,283.89 ", 2.52 , 97.46 , 0.28 , 13.40 , 3.53 , 75.58 , 10.59 , 96.94 , 12.99 , 15.41 , 0.37 , 6.73 , 3.18 , 8.61 , 3.90 , 50.73 
Mexico,America,Monterrey,2015," 21,253.35 ", 2.64 , 96.59 , 5.43 , 39.34 , 6.35 , 75.58 , 12.43 , 95.51 , 13.06 , 18.58 , 0.46 , 5.56 , 4.02 , 9.61 , 3.90 , 59.65 
Mexico,America,Pesquería,2015," 6,181.33 ", 1.89 , 86.90 , 0.55 , 6.40 , 7.82 , 75.58 , 12.85 , 96.17 , 26.42 , 71.17 ,, 3.48 , 16.91 , 5.46 , 3.90 , 57.32 
Mexico,America,Salinas Victoria,2015," 5,616.70 ", 2.32 , 34.52 , 0.74 , 8.33 , 17.09 , 75.58 , 13.68 , 93.49 , 12.98 , 72.80 , 0.34 , 11.43 , 17.37 , 7.51 , 3.90 , 58.23 
Mexico,America,San Nicolás de los Garza,2015," 12,430.68 ", 2.78 , 98.39 , 3.62 , 49.85 , 2.47 , 75.58 , 11.37 , 97.45 , 13.54 , 10.96 , 0.41 , 2.77 , 0.99 , 9.73 , 3.90 , 62.05 
Mexico,America,Santa Catarina,2015," 11,918.32 ", 2.95 , 98.65 , 0.20 , 31.81 , 3.94 , 75.58 , 11.62 , 96.12 , 10.19 , 20.19 , 0.39 , 8.08 , 3.51 , 9.70 , 3.90 , 55.88 
Mexico,America,Oaxaca de Juárez,2015," 4,665.59 ", 1.98 , 87.95 , 7.07 , 29.99 , 6.34 , 72.52 , 12.54 , 95.56 , 11.31 , 14.87 , 0.47 , 9.34 , 94.88 , 5.48 , 3.90 , 42.17 
Mexico,America,Amozoc,2015," 2,327.81 ", 2.18 , 75.79 , 0.50 , 11.54 , 0.89 , 74.47 , 29.13 , 92.44 , 8.28 , 23.46 , 0.40 , 25.12 , 91.63 , 5.85 , 3.90 , 56.73 
Mexico,America,Coronango,2015," 1,925.58 ", 1.86 , 14.16 , 0.73 , 9.24 , 2.69 , 74.47 , 19.58 , 93.82 , 6.81 , 23.81 , 0.42 , 49.66 , 92.47 , 4.83 , 3.90 , 58.77 
Mexico,America,Huejotzingo,2015," 5,243.41 ", 1.63 , 92.72 , 1.92 , 9.12 , 1.51 , 74.47 , 17.62 , 94.25 , 8.50 , 28.42 , 0.39 , 23.31 , 29.58 , 4.60 , 3.90 , 49.63 
Mexico,America,Puebla,2015," 4,714.24 ", 2.60 , 94.25 , 4.43 , 28.95 , 2.87 , 74.47 , 16.54 , 95.85 , 11.57 , 9.94 , 0.46 , 13.17 , 58.37 , 7.98 , 3.90 , 43.94 
Mexico,America,San Andrés Cholula,2015," 4,515.02 ", 1.63 , 26.64 , 0.30 , 34.39 , 0.89 , 74.47 , 15.34 , 95.83 , 8.87 , 24.52 , 0.43 , 26.48 , 25.36 , 4.34 , 3.90 , 42.48 
Mexico,America,San Pedro Cholula,2015," 2,661.12 ", 1.45 , 70.84 , 1.96 , 26.59 , 3.17 , 74.47 , 27.37 , 95.42 , 10.10 , 13.32 , 0.45 , 12.39 , 22.24 , 3.79 , 3.90 , 46.82 
Mexico,America,Cadereyta de Montes,2015," 1,242.29 ", 4.71 , 96.39 , 3.38 , 1.17 , 5.95 , 75.09 , 12.40 , 86.26 , 7.82 , 17.63 , 0.44 , 40.60 , 38.67 , 11.96 , 3.90 , 64.28 
Mexico,America,El Marqués,2015," 11,680.37 ", 3.42 , 92.33 , 0.83 , 6.94 , 4.46 , 75.09 , 16.88 , 91.75 , 6.96 , 21.63 , 0.35 , 17.51 , 21.54 , 9.33 , 3.90 , 69.45 
Mexico,America,Querétaro,2015," 9,899.01 ", 2.95 , 97.86 , 3.63 , 35.06 , 4.16 , 75.09 , 12.53 , 96.13 , 10.95 , 14.55 , 0.46 , 8.29 , 6.62 , 8.39 , 3.90 , 65.04 
Mexico,America,San Juan del Río,2015," 8,011.96 ", 3.03 , 98.66 , 3.19 , 17.66 , 2.71 , 75.09 , 12.79 , 94.13 , 9.69 , 16.79 , 0.44 , 9.95 , 8.92 , 8.13 , 3.90 , 61.84 
Mexico,America,Othón P. Blanco,2015," 2,440.02 ", 1.52 , 98.41 , 3.66 , 20.73 , 4.38 , 75.34 , 13.00 , 92.34 , 9.52 , 18.37 , 0.46 , 16.91 , 12.65 , 4.89 , 3.90 , 44.94 
Mexico,America,Benito Juárez,2015," 4,320.22 ", 2.35 , 88.13 , 2.20 , 29.22 , 4.06 , 75.34 , 13.48 , 94.93 , 12.63 , 38.01 , 0.45 , 6.69 , 8.99 , 5.74 , 3.90 , 39.84 
Mexico,America,Solidaridad,2015," 7,573.52 ", 2.57 , 99.57 , 3.66 , 18.55 , 6.32 , 75.34 , 14.01 , 94.22 , 11.71 , 23.21 , 0.44 , 8.48 , 17.46 , 4.60 , 3.90 , 33.34 
Mexico,America,San Luis Potosí,2015," 11,193.39 ", 3.41 , 98.26 , 4.54 , 33.00 , 5.56 , 74.26 , 12.35 , 96.69 , 10.88 , 17.99 , 0.46 , 10.16 , 4.57 , 11.34 , 3.90 , 49.66 
Mexico,America,Soledad de Graciano Sánchez,2015," 1,689.38 ", 3.63 , 98.29 , 1.36 , 21.09 , 6.19 , 74.26 , 11.94 , 96.61 , 10.17 , 8.45 , 0.41 , 15.96 , 3.89 , 12.03 , 3.90 , 45.32 
Mexico,America,Ahome,2015," 3,179.23 ", 2.80 , 98.43 , 2.56 , 26.82 , 4.96 , 74.61 , 10.73 , 96.16 , 11.88 , 42.90 , 0.43 , 9.99 , 5.97 , 10.14 , 3.90 , 43.58 
Mexico,America,Culiacán,2015," 3,806.80 ", 1.89 , 98.27 , 3.69 , 33.32 , 6.86 , 74.61 , 9.97 , 95.64 , 10.92 , 63.42 , 0.44 , 10.06 , 3.78 , 6.38 , 3.90 , 33.61 
Mexico,America,Mazatlán,2015," 4,048.14 ", 2.41 , 97.90 , 2.50 , 33.29 , 7.03 , 74.61 , 11.42 , 96.52 , 10.69 , 32.03 , 0.42 , 10.10 , 10.49 , 8.23 , 3.90 , 41.87 
Mexico,America,Agua Prieta,2015," 3,478.11 ", 3.68 , 99.18 , 2.33 , 25.73 , 7.05 , 74.95 , 15.79 , 97.06 , 9.28 , 30.08 , 0.41 , 18.07 , 10.16 , 11.65 , 3.90 , 51.43 
Mexico,America,Caborca,2015," 2,593.32 ", 2.28 , 98.72 , 2.29 , 27.83 , 22.65 , 74.95 , 9.77 , 94.94 , 9.35 , 65.70 , 0.41 , 12.36 , 6.95 , 6.90 , 3.90 , 54.65 
Mexico,America,Cajeme,2015," 5,957.46 ", 2.97 , 98.49 , 5.28 , 31.64 , 8.71 , 74.95 , 13.56 , 96.71 , 10.29 , 45.70 , 0.42 , 7.45 , 4.84 , 11.35 , 3.90 , 56.67 
