OBS,changetreasury
1974M02,-1.870503597
1974M03,7.184750733
1974M04,8.344733242
1974M05,3.282828283
1974M06,-0.97799511
1974M07,3.456790123
1974M08,2.983293556
1974M09,-3.012746234
1974M10,-4.778972521
1974M11,-3.638644918
1974M12,-4.817708333
1975M01,1.367989056
1975M02,-4.048582996
1975M03,2.672292546
1975M04,9.452054795
1975M05,-3.37922403
1975M06,-2.720207254
1975M07,5.459387483
1975M08,5.176767677
1975M09,0.480192077
1975M10,-4.778972521
1975M11,-2.132998745
1975M12,-0.512820513
1976M01,-3.865979381
1976M02,-0.134048257
1976M03,0.536912752
1976M04,-3.204272363
1976M05,4.689655172
1976M06,0.263504611
1976M07,-1.576872536
1976M08,-2.403204272
1976M09,-2.462380301
1976M10,-5.329593268
1976M11,-3.407407407
1976M12,-6.441717791
1977M01,7.868852459
1977M02,3.799392097
1977M03,1.464128843
1977M04,-2.02020202
1977M05,2.209131075
1977M06,-2.593659942
1977M07,1.183431953
1977M08,2.777777778
1977M09,0.142247511
1977M10,3.977272727
1977M11,0.273224044
1977M12,1.907356948
1978M01,3.877005348
1978M02,0.772200772
1978M03,0.383141762
1978M04,1.526717557
1978M05,2.506265664
1978M06,2.200488998
1978M07,2.153110048
1978M08,-2.459016393
1978M09,1.200480192
1978M10,2.135231317
1978M11,2.671312427
1978M12,2.714932127
1979M01,1.321585903
1979M02,-0.760869565
1979M03,0.766703176
1979M04,0.543478261
1979M05,-0.108108108
1979M06,-4.220779221
1979M07,0.564971751
1979M08,1.797752809
1979M09,3.863134658
1979M10,12.96493092
1979M11,2.822201317
1979M12,-4.666056725
1980M01,3.071017274
1980M02,17.31843575
1980M03,6.904761905
1980M04,-12.10096511
1980M05,-15.96283784
1980M06,-7.43718593
1980M07,3.474484256
1980M08,13.74606506
1980M09,7.195571956
1980M10,2.065404475
1980M11,8.178752108
1980M12,3.273577553
1981M01,-3.622641509
1981M02,5.01174628
1981M03,0
1981M04,4.3251305
1981M05,4.574696212
1981M06,-4.647983595
1981M07,6.021505376
1981M08,5.206220419
1981M09,2.377892031
1981M10,-3.26428123
1981M11,-13.17326411
1981M12,1.644245142
1982M01,7.720588235
1982M02,-0.750853242
1982M03,-3.851444292
1982M04,0.143061516
1982M05,-1.785714286
1982M06,4.945454545
1982M07,-2.494802495
1982M08,-7.604832978
1982M09,-5.769230769
1982M10,-11.83673469
1982M11,-3.888888889
1982M12,-1.541425819
1983M01,-1.859099804
1983M02,2.293120638
1983M03,-1.754385965
1983M04,-0.595238095
1983M05,0.099800399
1983M06,5.982053838
1983M07,5.45625588
1983M08,3.746654773
