Start_Date,End_Date,Duration_Seconds,Book_Cost,Texts_Day,Lefty,Wakeup_Saturday,Workout_Week,Perceived,Superpower,Sleep,Songs_Playlist,Recover_Energy
1/25/23 12:32,1/25/23 12:35,132,75,13,No,9:00 AM,4,Kind,Shape Shifter,Like somewhat,32,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 12:31,1/25/23 12:35,215,75,12,No,11:00 AM,6,Kind,Time Travel,Like a great deal,184,Going out with friends and having social interactions.
1/25/23 13:50,1/25/23 13:52,114,120,24,No,10:00 AM,4,Smart,Fly,Like somewhat,300,Going out with friends and having social interactions.
1/25/23 13:59,1/25/23 14:06,385,100,11,No,8:30 AM,5,Kind,Time Travel,Like a great deal,76,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:06,40,130,15,Yes,12:00 PM,3,Smart,Mind Control,Neither like nor dislike,NA,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:06,50,100,5,No,11:00 AM,0,Kind,Fly,Like somewhat,50,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:07,50,150,3,Yes,10:00 AM,3,Kind,Fly,Like somewhat,30,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:07,62,100,5,No,7:00 AM,3,Smart,Time Travel,Like a great deal,50,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:07,72,0,4,Yes,9:00 AM,0,Kind,Fly,Like a great deal,NA,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:07,57,175,20,No,9:00 AM,3,Smart,Time Travel,Like somewhat,300,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:05,1/25/23 14:07,85,100,7,No,12:00 PM,3,Kind,Fly,Like a great deal,7,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:07,59,150,8,No,11:00 AM,3,Kind,Time Travel,Like a great deal,33,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:07,76,100,15,No,11:00 AM,5,Kind,Time Travel,Like a great deal,25,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:07,72,75,4,No,9:00 AM,5,Kind,Time Travel,Like somewhat,25,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:07,71,140,10,No,9:00 AM,7,Kind,Fly,Like a great deal,20,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:07,75,80,4,No,9:00 AM,5,Kind,Time Travel,Like somewhat,5,Going out with friends and having social interactions.
1/25/23 14:06,1/25/23 14:07,68,180,4,No,10:00 AM,2,Kind,Invisibility,Neither like nor dislike,25,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:07,72,100,7,No,9:30 AM,6,Smart,Shape Shifter,Like a great deal,20,"Staying home. Reading, playing a video game, or browsing my phone."
1/25/23 14:06,1/25/23 14:07,44,100,5,No,10:00 AM,5,Attractive,Mind Control,Like somewhat,30,Going out with friends and having social interactions.
