Miles
21500
14300
11400
11600
11600
14300
14600
8900
12600
14100
12000
14100
15000
20800
8300
13900
19700
15100
14900
11300
12000
14500
18200
15800
19200
11600
13700
15200
16100
11300
17500
19300
14200
18400
12100
15300
15300
12100
14100
14100
11500
16700
11800
16400
13900
13700
13800
16000
19200
15100
